,trades,Total return,Average Gain,Average Loss,Max Return,Max Loss,Gain/Loss Ratio,Batting Average
"(0, 'ATVI')",4,5.43,8.397608895044916,-5.208884591780816,12.252885645400834,-6.1572406370348,1.61217027313211,0.5
"(1, 'ADBE')",6,64.2,26.53841909775417,-5.790893429571898,48.308396190429484,-7.199364818971388,4.5827849226567565,0.5
"(2, 'AMD')",9,60.17,23.59616018369936,-7.209582099781455,29.764309513482257,-8.636770904064894,3.2728887551491552,0.4444444444444444
"(3, 'ALXN')",3,-20.01,0.0,-7.1678164369194235,0.0,-8.36192707557818,-0.0,0.0
"(4, 'ALGN')",4,137.05,40.229434243938584,-1.8508149160265996,100.08159876590685,-1.8508149160265996,21.736065500436247,0.75
"(5, 'GOOGL')",6,-18.75,8.717760997794333,-5.641986988436003,8.717760997794333,-7.929477436656374,1.5451579409279983,0.16666666666666666
"(6, 'GOOG')",6,-17.98,8.564386514755707,-5.43199838748192,8.564386514755707,-7.940842219313793,1.576654833788684,0.16666666666666666
"(7, 'AMZN')",4,91.35,46.200670062875034,-4.9851602855355726,59.43049891883585,-6.322999955515451,9.267639838367112,0.5
"(8, 'AEP')",6,-13.02,4.275195289186651,-5.425995050782917,4.379751307922586,-6.255139582845038,0.7879099131448309,0.3333333333333333
"(9, 'AMGN')",4,-26.49,0.0,-7.374761136439839,0.0,-10.846370262360983,-0.0,0.0
"(10, 'ADI')",6,-0.08,8.490399576642593,-7.402606888279824,23.869296594214152,-8.167516351542115,1.1469472450421507,0.5
"(11, 'ANSYS')",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(12, 'ANSS')",7,19.3,13.456083394303997,-4.722518252602031,22.48140037821731,-8.380160640549683,2.8493449203483574,0.42857142857142855
"(13, 'AAPL')",8,-6.91,11.349166211200057,-7.567478958497769,12.54257161471266,-9.912060827503488,1.4997288097452466,0.375
"(14, 'AMAT')",3,15.06,12.543052859287373,-8.797058687325654,19.651963652758763,-8.797058687325654,1.4258234831783894,0.6666666666666666
"(15, 'ASML')",6,46.03,20.398852753224535,-5.471110414709813,33.556715727945004,-7.242621312791431,3.7284666561251423,0.5
"(16, 'TEAM')",7,46.91,28.972295019548813,-6.360837792224173,81.48436417960625,-9.39436876957439,4.554792303455072,0.42857142857142855
"(17, 'ADSK')",5,21.19,58.76287494894443,-6.511345693877059,58.76287494894443,-8.597148131926746,9.024689781745433,0.2
"(18, 'ADP')",4,0.06,5.899043611453913,-5.4150880114418705,11.310233942009184,-6.157586367112677,1.0893716960812942,0.5
"(19, 'BIDU')",6,-22.81,15.610375393106812,-7.741676429475166,15.610375393106812,-10.933928967000362,2.016407626347294,0.16666666666666666
"(20, 'BIIB')",5,-45.86,0.0,-10.680940842231832,0.0,-33.565787120609095,-0.0,0.0
"(21, 'BKNG')",5,-1.63,9.52814486588034,-6.289196880429326,15.390658573628247,-8.124242735613585,1.5150018431653722,0.4
"(22, 'AVGO')",6,0.12,33.734150704689434,-5.6005963934042855,33.734150704689434,-8.408342300056804,6.023314007132793,0.16666666666666666
"(23, 'CDNS')",5,59.47,40.907630387812674,-6.989178653334541,45.973035246325544,-9.414040730156492,5.852995382840246,0.4
"(24, 'CDW')",6,12.99,14.627234882398087,-3.28383310670298,28.819784549455683,-6.41866632488326,4.454317380667393,0.3333333333333333
"(25, 'CDW')",6,12.99,14.627234882398087,-3.28383310670298,28.819784549455683,-6.41866632488326,4.454317380667393,0.3333333333333333
"(26, 'CERN')",6,-15.87,4.163847584762925,-6.105581332171525,8.146238680397055,-7.853408315150567,0.6819739772890719,0.3333333333333333
"(27, 'CHTR')",5,-16.53,0.22068608327399097,-4.462479542296224,0.22068608327399097,-6.296918410105324,0.04945369075248113,0.2
"(28, 'CHKP')",5,-10.21,6.092527330158637,-7.179726656196292,10.431807591635888,-10.03597629546743,0.848573716229242,0.4
"(29, 'CTAS')",6,-2.75,14.925448838008792,-3.2414565631099217,14.925448838008792,-8.51934546480313,4.604550006275266,0.16666666666666666
"(30, 'CSCO')",5,29.19,17.51614257551938,-1.8368193838312303,29.668213151720124,-3.898113325552044,9.536126812307632,0.4
"(31, 'CTSH')",5,4.37,11.118927688745906,-5.384912351391054,13.606483314103745,-9.430911826278177,2.0648298362504667,0.4
"(32, 'CMCSA')",5,-23.93,0.0,-5.299837791239585,0.0,-7.981200220477569,-0.0,0.0
"(33, 'CPRT')",4,149.71,41.50520364231594,-6.16037030995823,64.14648797750748,-6.16037030995823,6.737452710468206,0.75
"(34, 'COST')",5,-3.05,7.221768987803257,-5.520354769304773,7.258580865597741,-6.2286811642662805,1.3082074050673302,0.4
"(35, 'CSX')",4,85.55,47.69474747777757,-5.363848085001277,80.64607236146387,-7.392218375722759,8.89189006138048,0.5
"(36, 'DXCM')",4,143.15,28.069544472930794,0.0,79.16112715826739,0.0,0.0,1.0
"(37, 'DOCU')",3,107.45,56.987592017936585,-6.948410593602638,105.47597213546389,-6.948410593602638,8.201529148321306,0.6666666666666666
"(38, 'DLTR')",3,-10.51,1.4087354699013233,-6.019904719812009,1.4087354699013233,-8.792097934157262,0.23401291805583854,0.3333333333333333
"(39, 'EBAY')",6,-5.93,6.861267995523068,-4.67905940616348,11.273012533710958,-6.191777012603561,1.4663776199304241,0.3333333333333333
"(40, 'EA')",4,7.19,28.66401411620576,-5.878503078470424,28.66401411620576,-8.207305047381407,4.876073676168608,0.25
"(41, 'EXC')",4,-4.75,6.037209565922375,-7.912121310187669,8.710940519731603,-9.714575868583463,0.7630329881505794,0.5
"(42, 'FB')",4,-18.08,4.465701144334822,-7.782316327672372,4.465701144334822,-8.869766866643147,0.573826731824775,0.25
"(43, 'FAST')",3,9.18,17.097859675038695,-3.439398550338557,17.097859675038695,-4.102220497588394,4.9711772057808385,0.3333333333333333
"(44, 'FISV')",5,9.76,12.381515660299048,-4.248215999143448,23.51401132568569,-5.5612591470275525,2.9145212161517886,0.4
"(45, 'FOXA')",3,-20.67,0.0,-7.424536403567235,0.0,-8.674493730813204,-0.0,0.0
"(46, 'FOX')",2,-14.97,0.0,-7.785324728052617,0.0,-8.323354968985598,-0.0,0.0
"(47, 'GILD')",4,-0.04,7.671634528467708,-7.108542079402247,10.464607712375052,-7.961684874675246,1.0792134931151467,0.5
