,trades,Total return,Average Gain,Average Loss,Max Return,Max Loss,Gain/Loss Ratio,Batting Average
AAL,15,-17.24,8.085220358519491,-11.033061900160604,23.3082602243762,-50.37328198106441,0.732817456448948,0.6
AAPL,6,2.71,9.53094131626571,-15.148879747245932,13.008725067615256,-21.937027699385837,0.6291515594081099,0.6666666666666666
AMD,21,432.88,14.28031824743097,-7.56097901430258,44.56521823636075,-16.602184910437135,1.8886864016442686,0.7619047619047619
ALGN,14,-30.2,7.96296683300281,-31.855189869762967,17.35223206830774,-41.6046773726512,0.24997392467471305,0.7857142857142857
ADBE,21,194.79,6.714352083512498,-2.361832912514424,16.505837001653802,-3.2021606356511856,2.842856515351186,0.8571428571428571
ADI,5,4.25,6.188941338060842,-6.483230528321349,10.409057316044956,-11.737746481874057,0.9546076313382759,0.6
ADP,3,-4.14,2.4408169033573124,-8.655685994051442,2.8733870302886766,-8.655685994051442,0.28199000114314987,0.6666666666666666
ADSK,23,209.87,7.789407594082069,-6.35631676029913,24.99424722591621,-15.161805814182062,1.2254593167436005,0.8260869565217391
ALXN,26,251.48,8.770143820726478,-5.98974300836381,31.540852604568535,-17.666525991363013,1.4641936738321228,0.7692307692307693
AMAT,9,18.73,9.809207941620638,-6.770979785714254,22.034190640226136,-11.459052465709918,1.4487132220238772,0.5555555555555556
AMGN,4,-3.35,1.5234165897796692,-3.13141265413186,2.1304971204193945,-5.544619849022148,0.48649499700064763,0.5
AMZN,18,141.45,7.003744599859409,-8.908866682652445,15.135772644326483,-13.577100791561325,0.7861543840921164,0.8888888888888888
ASML,9,59.6,6.544153695815421,-3.5406298692250537,12.414284306730284,-3.5406298692250537,1.8483021206754253,0.8888888888888888
ATVI,20,36.15,4.979538872667353,-22.896573379274205,13.87372194927632,-37.52414843876909,0.2174796547143946,0.9
BIDU,24,18.12,5.299721570259177,-9.094037869981724,13.535406959016472,-25.867902184259584,0.5827688036964187,0.7083333333333334
BIIB,27,217.23,8.450435781816507,-10.07484432117797,33.13492489650392,-26.421239829145893,0.8387658918017371,0.8148148148148148
BMRN,22,72.66,8.78450064702176,-8.563836717386085,26.45969330870024,-35.43717021250983,1.0257669473295408,0.6818181818181818
BKNG,25,217.49,7.754970904769292,-12.883759912487198,31.97345414748525,-30.855481984790465,0.6019183031541141,0.88
CDNS,20,112.98,5.826737753637325,-5.883191485164673,24.821046385160383,-9.638555349512234,0.9904042335406378,0.85
CERN,16,23.58,4.502213067504884,-5.0970892133313495,8.050006155505663,-15.925419191172896,0.8832910076852143,0.6875
CHKP,23,37.6,3.103407849692422,-4.432360974564245,8.920009322504896,-5.633677411163685,0.7001703759016433,0.782608695652174
CMCSA,3,5.09,4.729192759668166,-4.102725205714986,7.7907281648812665,-4.102725205714986,1.1526954700940066,0.6666666666666666
CSCO,4,3.57,5.4513521498204325,-3.3994589640852055,9.901788806988666,-4.652929080615964,1.6035940446445105,0.5
CSX,5,-7.08,5.516181066232669,-10.933055413668775,8.126844656031418,-15.38672412274894,0.5045415812432638,0.6
CTAS,7,-4.36,5.968069030030554,-14.975183766437244,16.397655521742394,-19.061398832132824,0.3985306039052649,0.7142857142857143
CTSH,13,49.05,5.585192653920668,-9.105082033442386,14.427217909047375,-11.495198925019723,0.6134148636340245,0.8461538461538461
CTXS,9,44.54,5.267312409950104,-3.600475653272761,10.21813814466952,-3.600475653272761,1.4629490426250267,0.8888888888888888
DLTR,18,-10.04,6.227296972497371,-8.169639593886266,13.305183988100522,-19.15383948549324,0.7622486770600696,0.5555555555555556
EA,20,55.7,7.180964025708146,-4.397001654231467,21.680579505576336,-16.69996275033183,1.6331501760517932,0.6
EBAY,12,45.71,5.725517502593223,-1.5801503708170435,11.471990275875443,-2.377676964275699,3.623400410704424,0.6666666666666666
EXPE,15,59.73,6.095209081802799,-29.686024075299233,12.557291801563286,-29.686024075299233,0.20532251359569645,0.9333333333333333
FAST,3,6.48,3.720446714362413,-0.9509340465129745,6.505767838092247,-0.9509340465129745,3.912412988056424,0.6666666666666666
FB,19,73.29,7.605799329237961,-8.38282599511884,24.955030036024016,-18.018833255781242,0.907307313031032,0.7368421052631579
FISV,24,162.91,5.1836536848447,-6.479205803770599,11.554954898174351,-10.172393304298144,0.8000446106879415,0.9166666666666666
FOXA,7,17.87,7.805595900476749,-24.53875045635514,15.476187281548537,-24.53875045635514,0.31809263940964955,0.8571428571428571
GILD,4,5.02,2.912766253059717,-3.5882584924001537,5.106892104450211,-3.5882584924001537,0.8117492815049102,0.75
GOOG,23,107.97,5.71895466230972,-4.890663088127544,12.013784429576368,-16.536410758853183,1.1693618143913689,0.782608695652174
GOOGL,23,88.83,5.1355223901104585,-4.864277383666284,9.995310171204096,-16.71291037186714,1.0557626518904917,0.782608695652174
HAS,3,-13.12,6.196603629452602,-9.397503512537785,6.196603629452602,-14.68266850865545,0.6593882748950648,0.3333333333333333
HSIC,21,7.29,4.548679502508356,-5.857122175353038,13.552065310227125,-19.8055688825195,0.7766065597281456,0.6190476190476191
HOLX,22,59.68,5.9519953010071305,-9.23718277314717,15.242114257185978,-21.84410303628155,0.6443517950418606,0.7727272727272727
IDXX,18,135.13,6.179548668995716,-14.655356768525074,14.165944164388723,-14.655356768525074,0.4216580166964868,0.9444444444444444
ILMN,23,161.48,6.967876614667628,-2.93611879931508,11.05940426711891,-7.406762692884028,2.3731589526599035,0.7391304347826086
INCY,24,115.85,6.098346174791566,-9.381212296385382,13.387263558362994,-14.324728482189874,0.6500595000010055,0.8333333333333334
INTC,4,4.45,14.840381746196574,-3.0993710785543396,14.840381746196574,-5.391833842970906,4.78819133626254,0.25
ISRG,16,119.81,7.296904248269156,-3.750304352366277,15.945612579017098,-5.561233049972469,1.9456832199939,0.8125
JBHT,12,19.62,4.865940182061987,-4.695697780432532,8.408314884099166,-13.94521497984751,1.0362549741465206,0.6666666666666666
JD,21,114.31,9.046951084128258,-15.308008821399758,21.549516738134344,-30.992407738994455,0.590994634879039,0.8095238095238095
KHC,5,16.37,16.753475995621002,-5.030034725150949,23.4795629871249,-5.663184228267115,3.330687939757362,0.4
KLAC,4,18.6,8.078329145549468,-5.797445559039538,14.41488457250606,-5.797445559039538,1.3934290651429253,0.75
LBTYB,15,11.0,8.655087879924393,-7.166402742721611,19.699245825746004,-23.208332061767578,1.2077311575482874,0.5333333333333333
LBTYA,26,88.53,6.355744294975475,-5.400533519532381,16.339263262645055,-14.466292435827011,1.176873409263795,0.6923076923076923
LBTYK,22,9.34,5.449708523098394,-6.158304079601448,15.30089859688375,-13.370055924380742,0.884936575501333,0.5909090909090909
LULU,21,77.97,7.005492659869426,-18.666162968153262,17.56367956220519,-25.842546766402428,0.37530437679246914,0.8571428571428571
LILA,23,-4.4,6.926634482495433,-14.012461217956513,16.487456789836497,-30.221806787314996,0.49431961842785876,0.6956521739130435
LILAK,19,-46.34,6.291450508235769,-13.607719469927963,15.33817027440827,-42.57399798702907,0.46234422469829733,0.5789473684210527
LRCX,2,-8.29,0.24952010175463002,-8.523101014037183,0.24952010175463002,-8.523101014037183,0.029275741463544912,0.5
MAR,7,21.33,11.209748719394158,-33.51622499685325,36.22712818229987,-33.51622499685325,0.33445737759686867,0.8571428571428571
MCHP,7,-13.33,9.805795127678984,-15.496733468226418,15.447628429002114,-21.43891144896636,0.6327652952013535,0.5714285714285714
MELI,18,192.65,12.317347391692312,-7.6650654962057985,26.762284720401432,-14.668123644857701,1.6069461373538674,0.7222222222222222
MNST,25,54.45,4.666065595161717,-3.9948944441300327,14.309846770491363,-10.74598630986464,1.1680072303331772,0.68
MU,19,103.24,9.964198130286372,-22.181597669354392,19.932072315841065,-38.24472548086432,0.4492101190732843,0.8421052631578947
MXIM,3,-0.82,2.7056249746456373,-5.945473998254203,4.5376354014534215,-5.945473998254203,0.45507304807658777,0.6666666666666666
MELI,18,192.65,12.317347391692312,-7.6650654962057985,26.762284720401432,-14.668123644857701,1.6069461373538674,0.7222222222222222
NFLX,21,163.76,7.9600056087957345,-7.410889972311954,18.632276551435247,-15.30667364310564,1.074095775073621,0.8095238095238095
NTES,3,5.99,7.9435162281973115,-8.848278533751298,12.867262649652922,-8.848278533751298,0.8977470812991682,0.6666666666666666
NVDA,21,227.33,10.240375982552768,-26.155642782556466,27.322349652852964,-38.939337506502994,0.39151689246124,0.9047619047619048
NXPI,13,67.25,8.322265040832981,-15.470731550758627,18.083541579313533,-27.16998006012189,0.5379361029908691,0.8461538461538461
ORLY,18,2.72,4.054620965666336,-5.400415695769796,9.320667781750625,-19.533031157917293,0.7507979374332914,0.6111111111111112
PAYX,3,-3.11,6.996108733136619,-15.31051415467195,9.821010927627839,-15.31051415467195,0.456947994199253,0.6666666666666666
PCAR,3,-5.44,2.945443150765925,-4.134909199825032,2.945443150765925,-6.372351812352983,0.7123356302214717,0.3333333333333333
PYPL,19,166.75,6.700934827767955,-5.4940736008077256,12.656297711093956,-5.715388732189131,1.2196660100772585,0.8947368421052632
PEP,3,8.67,4.517153999227796,-0.506678341677469,5.705712946744712,-0.506678341677469,8.915230093066095,0.6666666666666666
QCOM,4,7.52,5.5724853568810415,-8.61559986582262,6.790561405408901,-8.61559986582262,0.6467901763853536,0.75
