,unemployment
01/07/1967,346000
01/14/1967,334000
01/21/1967,277000
01/28/1967,252000
02/04/1967,274000
02/11/1967,276000
02/18/1967,247000
02/25/1967,248000
03/04/1967,326000
03/11/1967,240000
03/18/1967,225000
03/25/1967,215000
04/01/1967,223000
04/08/1967,251000
04/15/1967,289000
04/22/1967,218000
04/29/1967,216000
05/06/1967,221000
05/13/1967,188000
05/20/1967,177000
05/27/1967,170000
06/03/1967,175000
06/10/1967,188000
06/17/1967,176000
06/24/1967,178000
07/01/1967,206000
07/08/1967,322000
07/15/1967,309000
07/22/1967,282000
07/29/1967,243000
08/05/1967,250000
08/12/1967,193000
08/19/1967,174000
08/26/1967,160000
09/02/1967,163000
09/09/1967,156000
09/16/1967,165000
09/23/1967,155000
09/30/1967,154000
10/07/1967,195000
10/14/1967,159000
10/21/1967,181000
10/28/1967,174000
11/04/1967,204000
11/11/1967,201000
11/18/1967,209000
11/25/1967,200000
12/02/1967,228000
12/09/1967,258000
12/16/1967,241000
12/23/1967,289000
12/30/1967,332000
01/06/1968,357000
01/13/1968,373000
01/20/1968,293000
01/27/1968,242000
02/03/1968,308000
02/10/1968,257000
02/17/1968,214000
02/24/1968,199000
03/02/1968,198000
03/09/1968,208000
03/16/1968,179000
03/23/1968,175000
03/30/1968,165000
04/06/1968,184000
04/13/1968,167000
04/20/1968,165000
04/27/1968,216000
05/04/1968,180000
05/11/1968,164000
05/18/1968,156000
05/25/1968,148000
06/01/1968,139000
06/08/1968,149000
06/15/1968,154000
06/22/1968,152000
06/29/1968,173000
07/06/1968,266000
07/13/1968,242000
07/20/1968,216000
07/27/1968,238000
08/03/1968,235000
08/10/1968,222000
08/17/1968,160000
08/24/1968,148000
08/31/1968,139000
09/07/1968,135000
09/14/1968,141000
09/21/1968,142000
09/28/1968,143000
10/05/1968,153000
10/12/1968,151000
10/19/1968,151000
10/26/1968,152000
11/02/1968,161000
11/09/1968,174000
11/16/1968,196000
11/23/1968,211000
11/30/1968,180000
12/07/1968,223000
