,trades,Total return,Average Gain,Average Loss,Max Return,Max Loss,Gain/Loss Ratio,Batting Average
ATVI,36,46.95,14.068943928310222,-3.2307345943402206,49.31271257669281,-10.130122004756625,4.354719806745183,0.2777777777777778
ADBE,28,192.67,13.047241944782806,-2.8018815474076124,40.43490124929801,-8.61856427268548,4.656600118179342,0.4642857142857143
AMD,31,1367.9,36.92183049603064,-5.12589918652788,192.07921539985747,-10.84905246603547,7.202995835944309,0.45161290322580644
ALXN,37,-57.6,6.4310013193596065,-4.820561748808049,20.730028470986884,-11.411621421248563,1.3340771583207622,0.24324324324324326
ALGN,20,1335.27,56.086247285461184,-3.8845612778284253,159.08189581313766,-11.115134757396861,14.43824495846669,0.4
GOOGL,28,59.6,8.788078336311417,-2.5281151532919566,22.393979932605745,-11.954405364129006,3.4761384681659457,0.39285714285714285
GOOG,28,52.49,8.836269457326615,-2.819909316696735,22.69903349358171,-12.273936683192899,3.133529651115694,0.39285714285714285
AMZN,33,192.51,19.742198018593495,-3.323647509623315,63.44468535804801,-8.638771236265807,5.939919308961549,0.3333333333333333
AEP,25,44.8,4.979165110171454,-2.0190584636992592,18.3980688171292,-5.519521187513298,2.4660826814537975,0.52
AMGN,41,15.68,5.7455238200038465,-2.2603350773133695,15.169005016676373,-7.692752519997292,2.541890305411252,0.34146341463414637
ADI,38,3.83,10.868138505758804,-2.4986449444297714,30.411435058723768,-9.083034498854325,4.349612989227278,0.21052631578947367
ANSS,30,91.34,10.146488685262678,-3.1171998029755477,29.161307447832453,-12.50215375891025,3.2550010671684464,0.43333333333333335
AAPL,24,194.34,17.938863666107505,-3.3103778055942903,49.55217621541244,-12.564314358515173,5.41897774803594,0.4166666666666667
AMAT,23,138.63,18.13062894966096,-4.0778288335664685,42.64864583917485,-13.608729583632694,4.446147616697269,0.391304347826087
ASML,35,88.56,15.976629806955279,-3.1573437245820544,32.079163779816696,-8.122764718997189,5.060149036852218,0.2857142857142857
TEAM,30,356.78,16.10536187155173,-3.1529968848395415,36.538973267077026,-7.349592339941746,5.107953626275576,0.4666666666666667
ADSK,32,181.77,12.04346425801228,-3.4723783346656245,37.0935353668943,-8.499831258104052,3.468361767431663,0.46875
ADP,34,29.1,5.637600639887334,-2.797208197257735,19.407266516658517,-6.634742905106162,2.015438337916427,0.4411764705882353
BIDU,49,-28.03,7.6579884752971115,-2.569894923756095,32.0395795971139,-11.5851455966957,2.9798838872775333,0.20408163265306123
BIIB,49,-79.16,7.298458584234884,-5.252246599647696,25.922211123070138,-33.54329131599299,1.3895879497974144,0.20408163265306123
BKNG,36,-21.11,7.411866972580372,-3.097115218769097,19.2309498592262,-10.433475556374194,2.3931518361548427,0.25
AVGO,41,12.09,7.303223911725636,-2.6691886258856883,32.26663774632365,-8.786630550357133,2.7361213219999714,0.3170731707317073
CDNS,30,163.5,17.151203060815295,-2.5335031384442033,44.68453628732243,-6.5696819597085065,6.7697579689392695,0.3333333333333333
CDW,32,100.17,9.775249536511586,-2.5354892433947267,24.011572704600326,-6.6042273309053545,3.855370146798043,0.40625
CDW,32,100.17,9.775249536511586,-2.5354892433947267,24.011572704600326,-6.6042273309053545,3.855370146798043,0.40625
CERN,31,44.4,8.386445060575268,-2.2932126145487968,32.61617338850975,-7.302711079612201,3.6570726182863558,0.3548387096774194
