,trades,Total return,Average Gain,Average Loss,Max Return,Max Loss,Gain/Loss Ratio,Batting Average
ATVI,24,82.28,14.211714781879692,-2.399264534728678,47.484239621597936,-7.44653855576688,5.923363004024411,0.3333333333333333
ADBE,19,93.62,17.9152337293509,-3.7996460491791204,30.686430815059328,-7.509374786441425,4.714974367999705,0.3684210526315789
AMD,23,868.57,33.94070294502968,-6.446156351124689,124.61814683688166,-10.923653923442833,5.265262133939382,0.5217391304347826
ALXN,27,-50.97,7.903063434438491,-5.325642792664913,14.020268800835112,-12.864393542021457,1.4839642353263907,0.2222222222222222
ALGN,13,1246.47,45.821036576788714,-4.315911347588628,125.59553650921336,-7.1148350622936345,10.616769642960739,0.6153846153846154
GOOGL,26,18.23,6.4785617814379926,-2.2496189745456983,18.085492059389274,-5.404661693613133,2.8798484786723995,0.34615384615384615
GOOG,29,14.33,6.777287934405262,-2.201809238959901,18.238216145595377,-5.0260843182413755,3.078054090465504,0.3103448275862069
AMZN,21,228.12,26.591953245834787,-2.8259420007771396,57.682013916061095,-6.846493404842535,9.409943034401254,0.3333333333333333
AEP,16,43.7,5.705738878314197,-1.819286551104666,14.312277727777145,-3.9247855159432965,3.136250787348308,0.5625
AMGN,26,2.3,4.7899314419713,-2.7011169297852153,10.959134749985466,-5.535888094514063,1.773315101302253,0.38461538461538464
ADI,35,-17.32,9.683632915563335,-2.8455121865199957,27.51431377050737,-5.584374005675308,3.403124738469746,0.2
ANSS,23,70.05,10.575392379572436,-3.295366120819828,26.541980269232578,-6.0670585889940565,3.2091706935863833,0.43478260869565216
AAPL,21,176.08,23.067790906236187,-2.4857488012304905,55.483335741278374,-4.584487595485021,9.280016908714675,0.3333333333333333
AMAT,24,59.66,17.40357480611665,-4.6982870392815785,42.64864583917485,-8.575634165738332,3.7042383023021634,0.3333333333333333
ASML,28,46.71,12.6906932009108,-3.3784585161412553,26.96214661804799,-6.429558256966095,3.7563560837815526,0.32142857142857145
TEAM,26,94.56,14.442678095682085,-5.008535381411849,29.056319147169706,-10.099399788090913,2.8836130716542647,0.4230769230769231
ADSK,30,79.45,12.639030032441934,-3.534937440895499,32.22330577580463,-8.499831258104052,3.575460738349053,0.36666666666666664
ADP,25,5.64,8.105754680242828,-2.6086313105430685,17.104186002646713,-7.009340739899161,3.1072825996845683,0.28
BIDU,22,-7.94,7.925144936279423,-3.166268838343785,28.060131319301583,-8.221258008402476,2.502991799150231,0.2727272727272727
BIIB,31,-54.84,12.899398246448802,-4.924256475208123,24.563003269143934,-33.565787120609095,2.6195626307022546,0.16129032258064516
BKNG,29,-14.27,6.995283195557914,-3.5972190723275212,19.31956905137899,-12.864932850662125,1.9446364135481276,0.3103448275862069
AVGO,33,-5.23,7.984839965285636,-2.8662893780063654,36.16387143309592,-6.856493936026897,2.7857759326587797,0.2727272727272727
CDNS,21,130.23,18.191089178235323,-3.1988494971921257,45.60613157129507,-6.95825298805306,5.68675994109852,0.38095238095238093
CDW,25,44.46,9.333845385386894,-3.31837836928545,20.314286103252698,-7.587551252772629,2.812773091754682,0.4
CDW,25,44.46,9.333845385386894,-3.31837836928545,20.314286103252698,-7.587551252772629,2.812773091754682,0.4
CERN,22,20.16,11.419965933065475,-3.485195550309548,30.836081558878092,-7.598217723010592,3.2767073664062196,0.3181818181818182
CHTR,19,118.77,11.740380940845075,-3.3649671559698606,20.405775980157138,-7.161988849854062,3.48900313039199,0.5263157894736842
CHKP,28,21.29,13.241145738449818,-2.289014500826122,41.3319530963252,-7.919907386095293,5.784649128990224,0.21428571428571427
CTAS,19,167.63,12.526896292534225,-3.1288627699288725,43.81968173768451,-5.710103316688131,4.003657946564079,0.5789473684210527
CSCO,25,-6.79,8.036503440890758,-3.215243901900603,22.419568653595647,-8.326029787436728,2.4995004068401157,0.28
CTSH,27,-1.3,13.298837671141404,-2.6468317976563216,35.80327088180471,-11.705931924264135,5.024436264864684,0.18518518518518517
CMCSA,22,35.83,8.735325287835966,-2.505236406549815,17.29499509848258,-4.9963022905012195,3.4868267381864224,0.36363636363636365
CPRT,18,348.32,17.994339323653787,-3.35680513070517,44.8874886438209,-5.007685138490592,5.360555237197723,0.6111111111111112
COST,30,46.29,8.603201687452673,-2.1551949113780333,13.893362845939027,-4.644025842813681,3.991843912600823,0.3333333333333333
CSX,11,-56.14,10.192178710969314,-10.517641855141,16.129035979478324,-21.052627451201833,0.9690555023022961,0.18181818181818182
DXCM,21,170.85,24.566751330909753,-4.927690429848961,56.72254805223778,-16.135497630641716,4.985449406906584,0.38095238095238093
DOCU,15,104.8,49.22096569112781,-5.878875680758259,133.750144400838,-15.918466991935587,8.372513447125534,0.26666666666666666
DLTR,24,38.42,16.628681151593764,-3.021478297237448,44.2236482160161,-10.760629286787315,5.503491839341506,0.25
EBAY,31,10.56,15.588399412842776,-3.5077509873351045,44.82060990052932,-10.762609702331238,4.443986893347163,0.22580645161290322
EA,21,51.25,11.073911056477062,-2.9263704469928973,29.837573800014795,-8.425610174964183,3.784179500533324,0.38095238095238093
EXC,22,4.12,4.51221510273134,-2.6464801101924604,14.431426657229363,-6.495937877548297,1.7049873472894521,0.4090909090909091
FB,24,33.72,10.167923096908376,-2.8185682339802116,23.072125503860153,-6.594060785390643,3.6074780714284325,0.3333333333333333
FAST,23,22.53,14.601923905292265,-3.4496055385824267,28.133463947826453,-7.471592805055582,4.23292569019145,0.2608695652173913
FISV,27,3.22,6.1296050624556075,-2.248809265600511,16.127206769542024,-5.069485505681093,2.725711404794834,0.2962962962962963
FOXA,11,-11.58,12.936110168011083,-2.408210493659686,12.936110168011083,-4.679434222906853,5.37166921333046,0.09090909090909091
FOX,10,-23.21,6.686132572616188,-3.5711935041913327,6.686132572616188,-7.777782201856054,1.8722403489950925,0.1
GILD,28,-11.51,8.79329472999443,-2.2827694457868977,19.40871270893092,-6.02899181029043,3.852029273575316,0.17857142857142858
IDXX,23,222.0,19.514271965096817,-4.133820799070578,43.16207528409066,-7.827521606611009,4.72063810058827,0.43478260869565216
ILMN,24,-16.05,11.110191702009681,-5.003277184758904,28.272789997163137,-12.887417661001443,2.2205828883224377,0.2916666666666667
INCY,28,-45.48,10.949782444013628,-4.108383232412634,21.069819475757345,-11.640412958321622,2.66522907542474,0.14285714285714285
INTC,20,12.8,14.206230098195396,-3.467816330235728,20.7926979972028,-11.10224488650886,4.096592421672377,0.25
INTU,30,33.71,7.919335787438175,-3.2964493740279477,21.07997325522959,-8.890410457049558,2.4023835614867943,0.4
ISRG,19,41.54,12.392539486426124,-4.727111955551603,40.60253090354058,-9.885315669972305,2.6215878961512873,0.42105263157894735
JD,21,85.79,21.281012165756966,-4.803434040343189,44.460970860321304,-11.63972518321339,4.4303746001343045,0.3333333333333333
KDP,22,20.33,10.830118733902179,-3.3079127345625547,33.75157364931549,-6.851858530845734,3.274003760965108,0.3181818181818182
KLAC,21,38.49,21.28958293874534,-5.072620909941136,41.02054310787386,-9.709055889831964,4.196959188695295,0.2857142857142857
KHC,21,-9.31,9.98791352464794,-3.9246235757289374,32.68069337010333,-27.278391411813885,2.5449354140397635,0.2857142857142857
LRCX,27,177.65,23.27692055748527,-4.153716991175504,58.58110642021117,-9.659764965624563,5.60387734815267,0.3333333333333333
LULU,24,175.34,18.2279829400379,-4.0490769551866554,52.73232979820182,-9.69027022684057,4.5017625354560895,0.4166666666666667
MAR,24,35.26,21.43392384832867,-3.24180773170757,47.451509696906015,-9.207436972540295,6.6117196398438765,0.20833333333333334
