,trades,Total return,Average Gain,Average Loss,Max Return,Max Loss,Gain/Loss Ratio,Batting Average
MMM,27,-12.18,5.794150846987255,-3.3996196115568096,15.277418232140349,-8.0717726622337,1.704352695016341,0.3333333333333333
AOS,34,19.09,9.031230021481589,-3.5837878637193015,33.49482603498994,-6.405074785715826,2.5200236076777327,0.35294117647058826
ABT,39,56.98,7.098124858582092,-2.6075187313132333,26.416338371000215,-8.474843426266576,2.7221759803072403,0.41025641025641024
ABBV,31,42.96,12.435840295233296,-2.8571924877580948,34.65011358890049,-11.365432960912836,4.352468497840381,0.2903225806451613
ABMD,34,145.62,25.428656853060694,-4.384134185955335,89.90212413317079,-22.034477420277952,5.800154779596374,0.29411764705882354
ACN,26,77.88,7.737218734406318,-2.7329746867219336,22.911396029846422,-5.273552603746612,2.831061250584331,0.5
ATVI,36,46.95,14.068943928310222,-3.2307345943402206,49.31271257669281,-10.130122004756625,4.354719806745183,0.2777777777777778
ADBE,28,192.67,13.047241944782806,-2.8018815474076124,40.43490124929801,-8.61856427268548,4.656600118179342,0.4642857142857143
AAP,34,-7.1,7.541332337943762,-3.888598079003087,42.39836978073257,-17.949700831649373,1.9393447676333573,0.35294117647058826
AMD,31,1367.9,36.92183049603064,-5.12589918652788,192.07921539985747,-10.84905246603547,7.202995835944309,0.45161290322580644
AES,33,22.27,8.492703584360456,-2.9540666509586626,22.96228149377628,-9.266718026433562,2.8749194205230197,0.3333333333333333
AFL,33,0.56,5.843481571786124,-3.0011436972067145,23.745680485203003,-10.81683937184451,1.9470848987420655,0.36363636363636365
A,39,-77.23,47.50351499927183,-8.781647293199223,233.33332008785726,-32.58426590047685,5.409408213884883,0.15384615384615385
APD,33,54.14,9.421585138418314,-2.146747105414718,40.3137900967377,-7.632982839451241,4.388772722531847,0.3333333333333333
AKAM,38,30.33,8.783863211239293,-3.0696755115667105,32.002537974328064,-8.496395602105778,2.861495678660888,0.34210526315789475
ALK,31,19.18,9.037197748073392,-4.639031659774144,41.28540471105242,-14.27821494379753,1.948078480782211,0.41935483870967744
ALB,30,83.46,17.357111404606442,-3.344456853256003,57.59577346428293,-8.314059289697685,5.189814719154888,0.3
ARE,39,11.63,6.195412852318321,-2.6778491931338873,37.33218507460079,-7.552120514114025,2.3135779521130644,0.358974358974359
ALXN,37,-57.6,6.4310013193596065,-4.820561748808049,20.730028470986884,-11.411621421248563,1.3340771583207622,0.24324324324324326
ALGN,20,1335.27,56.086247285461184,-3.8845612778284253,159.08189581313766,-11.115134757396861,14.43824495846669,0.4
ALLE,31,15.73,9.280074826273488,-3.3279117478309805,24.198245406818366,-6.392251293874473,2.7885579695200526,0.3225806451612903
LNT,35,-2.7,3.915318343656223,-2.9131067379988282,14.632109216598366,-6.432876541124344,1.3440353189206753,0.42857142857142855
ALL,37,29.5,5.9142054016003565,-1.940836492353576,19.29384872966031,-5.87341271809686,3.047245569063076,0.35135135135135137
GOOGL,28,59.6,8.788078336311417,-2.5281151532919566,22.393979932605745,-11.954405364129006,3.4761384681659457,0.39285714285714285
GOOG,28,52.49,8.836269457326615,-2.819909316696735,22.69903349358171,-12.273936683192899,3.133529651115694,0.39285714285714285
MO,21,47.9,7.3454097831803775,-3.6848514565780235,13.980259859413824,-7.074125505706275,1.9934072973464636,0.5238095238095238
AMZN,33,192.51,19.742198018593495,-3.323647509623315,63.44468535804801,-8.638771236265807,5.939919308961549,0.3333333333333333
AMCR,24,49.13,10.454223280663236,-2.9772547653413084,28.505750470132174,-5.354054081434445,3.511363354712702,0.375
AEE,36,20.55,5.551216296430047,-2.1696866372202264,11.699806994525485,-5.452897683609903,2.5585336615900403,0.3611111111111111
AAL,42,-51.43,6.708641503626557,-4.0495219902499375,28.56743656705043,-12.542953851143302,1.6566502218728534,0.23809523809523808
AEP,25,44.8,4.979165110171454,-2.0190584636992592,18.3980688171292,-5.519521187513298,2.4660826814537975,0.52
AXP,30,42.01,6.589774103483088,-3.1713539628514873,21.066161005435525,-10.031138689026376,2.077905582497,0.4666666666666667
AIG,31,-5.95,6.6425059174834304,-3.161269963215421,22.7761520303575,-9.277163867164173,2.1012143837051935,0.3225806451612903
AMT,27,33.73,11.46714909246061,-4.178562151594512,33.10820184784791,-15.163815138482196,2.744281089150444,0.37037037037037035
AWK,38,45.01,6.787797618196743,-1.8304163789831884,20.57732176577005,-6.6836394152034355,3.708335270670721,0.34210526315789475
AMP,28,84.97,10.123491103111764,-3.0608601663509747,36.820280123063085,-7.874637194232825,3.307400715133143,0.42857142857142855
ABC,47,-49.34,8.204078592388631,-3.247046542515877,13.698046029932588,-10.758804857157255,2.5266279632788837,0.1702127659574468
AME,39,-98.54,49.44444268527976,-13.16043277641547,75.00000465661299,-54.545453621828855,3.757052942353696,0.07692307692307693
AMGN,41,15.68,5.7455238200038465,-2.2603350773133695,15.169005016676373,-7.692752519997292,2.541890305411252,0.34146341463414637
APH,24,136.47,11.024250168422407,-2.9867709203872295,24.442848210971448,-7.719967377456117,3.6910263499529226,0.5
ADI,38,3.83,10.868138505758804,-2.4986449444297714,30.411435058723768,-9.083034498854325,4.349612989227278,0.21052631578947367
ANSS,30,91.34,10.146488685262678,-3.1171998029755477,29.161307447832453,-12.50215375891025,3.2550010671684464,0.43333333333333335
ANTM,28,43.21,13.641573122019118,-3.736662797235592,47.60053780451838,-13.565226074319426,3.650736997759403,0.32142857142857145
AON,39,31.16,6.219238132039447,-1.511728902625377,26.48033736726663,-4.907981233726533,4.113990359805036,0.3076923076923077
APA,39,25.31,16.329804999021324,-4.504517438957458,50.325247076701984,-13.355484027317077,3.625206300189339,0.28205128205128205
AIV,44,-22.59,5.235595429719919,-2.3932471262629638,19.631292752801134,-8.537703816151964,2.1876534906344,0.25
AAPL,24,194.34,17.938863666107505,-3.3103778055942903,49.55217621541244,-12.564314358515173,5.41897774803594,0.4166666666666667
AMAT,23,138.63,18.13062894966096,-4.0778288335664685,42.64864583917485,-13.608729583632694,4.446147616697269,0.391304347826087
APTV,24,60.15,13.237326636369495,-3.884813419932657,42.74207899502762,-10.264566852133349,3.407454929096431,0.375
ADM,35,27.36,8.02873335110102,-2.728926101492147,27.836829194546574,-8.175410002882034,2.9420852938124615,0.34285714285714286
ANET,33,43.17,12.214261104127045,-4.822930035840719,51.5053608837222,-21.62916548028787,2.532539558600064,0.3939393939393939
AJG,29,133.97,7.733859942977243,-1.7396084307390403,19.43546501231137,-4.444757155254164,4.445747563830589,0.5172413793103449
AIZ,29,60.32,11.526731246196087,-2.2918662629928974,35.86679829457218,-5.695307294563801,5.029408317719021,0.3103448275862069
T,29,-1.37,5.128689128567964,-2.9594425546480436,23.070598969490486,-8.697019367942415,1.7329916137459547,0.3793103448275862
ATO,31,9.81,4.57146197489609,-2.606254600903886,15.293437496221141,-7.5280176380157044,1.7540350713666433,0.41935483870967744
ADSK,32,181.77,12.04346425801228,-3.4723783346656245,37.0935353668943,-8.499831258104052,3.468361767431663,0.46875
ADP,34,29.1,5.637600639887334,-2.797208197257735,19.407266516658517,-6.634742905106162,2.015438337916427,0.4411764705882353
AZO,26,62.24,9.037978036207535,-2.687561851356515,36.735039697472274,-12.166756107516674,3.3628911764935654,0.4230769230769231
AVB,40,-27.79,4.0586553918934385,-2.145003217663572,11.33212965061361,-6.5488459934733285,1.8921441974871707,0.225
AVY,35,74.65,13.704285330062032,-2.6011270048927497,44.30965528604875,-8.009094732521948,5.268595229792361,0.2857142857142857
BKR,37,-0.47,13.861417543618996,-3.8735959376078353,45.28621775192689,-9.808371682033524,3.5784366172634945,0.24324324324324326
BLL,31,72.92,15.807851498146505,-3.0898323121395848,46.71822953506928,-11.780617986338537,5.116087185715331,0.2903225806451613
BAC,30,40.34,11.41989353843631,-3.2514513302408288,47.57376308673133,-10.052345055956257,3.5122449572666556,0.3333333333333333
BAX,36,21.55,8.891417324266397,-2.3526243136527865,31.40057286885145,-8.998845096574925,3.7793613169206766,0.2777777777777778
BDX,37,1.75,6.5620485036468486,-1.920865360219603,14.810924989995966,-4.48784831595086,3.416193888204971,0.24324324324324326
BBY,31,198.36,20.58504040693743,-3.094227266237567,61.902534908404206,-7.424250972866798,6.652724132952218,0.3225806451612903
BIO,28,95.17,13.285309864456323,-2.9288220410177197,34.315934560726234,-8.081241694033759,4.536059097615875,0.35714285714285715
BIIB,49,-79.16,7.298458584234884,-5.252246599647696,25.922211123070138,-33.54329131599299,1.3895879497974144,0.20408163265306123
BLK,28,72.39,11.101988976876937,-1.9491505107811677,23.691342854302142,-9.711003720454848,5.695808977023306,0.32142857142857145
BA,32,108.75,25.695570107235728,-3.732321607730439,159.7141692349769,-9.250187206191907,6.884607707442651,0.28125
BKNG,36,-21.11,7.411866972580372,-3.097115218769097,19.2309498592262,-10.433475556374194,2.3931518361548427,0.25
BWA,37,-9.31,14.734895017279431,-3.8769171740866906,45.91988695224756,-9.495569469411668,3.8006731523096366,0.21621621621621623
BXP,46,-25.5,3.5411553298827574,-1.8886799667427792,9.514978985553913,-9.36602380534266,1.8749366712401996,0.2391304347826087
BSX,32,40.57,10.36155059716081,-3.27728128733618,33.296329500642315,-7.7153811546052715,3.1616299269760955,0.34375
BMY,34,-6.08,12.419782204398055,-2.5322743801339374,41.25433540228649,-11.657120929697296,4.904595766490813,0.17647058823529413
AVGO,41,12.09,7.303223911725636,-2.6691886258856883,32.26663774632365,-8.786630550357133,2.7361213219999714,0.3170731707317073
BR,22,224.12,17.437056012496377,-1.6287031147589976,51.78407721717555,-4.022506146210225,10.7060985237181,0.4090909090909091
CHRW,35,3.6,11.646734209443679,-2.8148511296930625,39.114488825652,-9.495648755792852,4.137602193801867,0.22857142857142856
COG,49,-66.88,7.756555858291482,-3.718871329934988,25.166033153152778,-11.372768865875793,2.0857284832242584,0.14285714285714285
CDNS,30,163.5,17.151203060815295,-2.5335031384442033,44.68453628732243,-6.5696819597085065,6.7697579689392695,0.3333333333333333
CPB,38,-38.31,4.743263135386877,-3.2485237479464666,12.082120516020689,-14.074360260247577,1.4601288164771151,0.2631578947368421
COF,31,7.69,7.80762152000544,-3.482244593353453,29.776750765951498,-8.914184889088695,2.2421232370947797,0.3548387096774194
CAH,35,-59.95,3.854452228800831,-4.017319404810515,8.648104749457652,-22.819814901563753,0.9594587436053355,0.2
KMX,34,80.83,18.075042473461533,-3.1707053707141206,59.043724181196076,-10.997830163613887,5.700637668958371,0.2647058823529412
CCL,38,-27.47,12.233900569944486,-4.2571457331463955,42.5203216321969,-22.441556856229706,2.873733091796833,0.23684210526315788
CARR,2,118.82,122.45351960362947,-1.634156442610668,122.45351960362947,-1.634156442610668,74.93378015142923,0.5
CAT,19,56.39,16.298595935166627,-4.2710095613476415,61.830661710458614,-6.914215141268965,3.8160991449581054,0.3684210526315789
CBOE,34,30.92,10.469271230337288,-2.357402093647369,75.4403529536768,-7.739641944147946,4.4410205872597865,0.29411764705882354
CBRE,33,-8.5,7.143840654198611,-4.582107330311611,22.14425103177151,-15.460418271246102,1.5590731816648187,0.3939393939393939
CDW,32,100.17,9.775249536511586,-2.5354892433947267,24.011572704600326,-6.6042273309053545,3.855370146798043,0.40625
CE,27,125.47,10.869248487075717,-3.9542713132708416,47.39403119207921,-10.922404028623777,2.7487361452912134,0.5185185185185185
CNC,34,1.93,15.882608055068424,-4.839284542158772,37.070297696683085,-17.126650988311887,3.282015743588266,0.2647058823529412
CNP,42,51.79,10.356250044755466,-1.6353789621067534,25.5190261984225,-4.3300377923383255,6.332630102697528,0.23809523809523808
CERN,31,44.4,8.386445060575268,-2.2932126145487968,32.61617338850975,-7.302711079612201,3.6570726182863558,0.3548387096774194
CF,45,-57.69,8.99071284741392,-4.680710942953139,23.377476909249182,-12.494885008999379,1.9208006982250283,0.2222222222222222
SCHW,37,-33.08,8.088326096468009,-4.115634868058409,21.494221235929366,-16.328962031807805,1.965268143498783,0.2702702702702703
CHTR,25,163.23,11.817785502023835,-3.3973340597434407,35.783515202629616,-11.405024928757879,3.4785467941048718,0.52
CVX,43,-12.9,6.9969744402253315,-2.1077502156349452,21.850021687877664,-7.845721989409649,3.3196411929283287,0.20930232558139536
CMG,33,51.96,15.096889720193802,-4.389105499542086,55.833979308527894,-15.144739038959475,3.439627897248963,0.3333333333333333
CB,45,1.9,5.587643747764726,-1.8361914560797987,17.73812349594244,-9.609399998604262,3.04306162043371,0.26666666666666666
CHD,46,8.11,8.233998122806133,-2.1512922913315715,25.930141234118274,-5.629681336758551,3.8274660100741533,0.2391304347826087
CI,38,35.54,10.695476872179373,-2.3496262526120595,30.47031114195469,-6.690841192506358,4.551990709283786,0.2631578947368421
CINF,34,0.23,11.432581047575503,-3.00656833318506,41.326154627085465,-14.153355732508043,3.802534910445292,0.23529411764705882
CTAS,22,274.38,17.80731967087438,-1.9295161490001493,58.228876852526334,-5.958532979298092,9.22890418932327,0.45454545454545453
CSCO,31,27.24,11.275986175148468,-2.4856497945371614,33.82704227047337,-7.022220222049668,4.5364339738969965,0.25806451612903225
C,40,48.98,5.207243124452602,-2.132835274706507,22.76305753418906,-5.699179508913632,2.4414652112170994,0.45
CFG,31,43.17,12.850965489923766,-2.797046778880731,60.68822141951973,-8.790604642267164,4.594476426692521,0.2903225806451613
CTXS,29,20.74,7.769202308227976,-2.797647816970461,18.94342256238124,-12.805511724765584,2.777048011940671,0.3448275862068966
CME,39,32.91,8.938857156909915,-2.1791052087045744,31.656686593748805,-7.128687164782255,4.1020769080827675,0.28205128205128205
CMS,34,2.16,4.575703498735397,-2.5644849136360035,13.11152268582807,-7.535220325839664,1.7842583024783045,0.38235294117647056
KO,39,-9.8,4.3723233172741915,-1.9800956016079074,17.06600371769209,-6.211803094803048,2.208137482717355,0.28205128205128205
CTSH,29,17.66,10.11940060567349,-3.049832482671432,48.08696109530963,-8.565551608060751,3.3180185020554407,0.3103448275862069
CL,35,10.7,5.042975555542854,-2.036109002567781,16.731273081848318,-6.0113633342128825,2.4767709141224996,0.34285714285714286
CMCSA,33,53.59,8.273605467568846,-1.9329376892130943,17.505248553596275,-6.2237535201759675,4.280327045067376,0.3333333333333333
CMA,25,134.81,13.443768375261488,-2.06788086506776,55.11530315587303,-4.542943612407546,6.501229641592997,0.4
CAG,42,-19.51,7.026249027420923,-3.2329138925018808,32.42590298356269,-12.09815961623174,2.1733486449227586,0.2857142857142857
CXO,39,-23.02,9.739662391998738,-3.051580259526401,36.328167866703495,-9.001233404907882,3.1916782662338736,0.20512820512820512
COP,32,53.21,12.317613862430541,-2.542979474494945,24.865185654498845,-6.696228309238073,4.843772427568222,0.28125
ED,30,-19.89,4.448473826586464,-3.9451448147951282,13.227518039922481,-14.688971381679982,1.1275818849294823,0.4
STZ,38,1.98,7.118551497807625,-2.801664191976419,41.699170181517076,-7.589304014352482,2.5408296676647324,0.3157894736842105
CPRT,20,497.86,21.40025209673585,-2.6953332646947805,52.77492458883613,-5.421089834324322,7.93974250867238,0.55
GLW,28,119.08,11.281403273696318,-2.6319774445111266,49.18360801279804,-6.76270992254866,4.286284176645658,0.42857142857142855
CTVA,12,-10.54,11.48653710261271,-6.248613970660149,34.02760896981305,-9.917642772843383,1.8382535961649729,0.3333333333333333
COST,27,71.24,9.853206045689909,-2.8640924766661553,20.728373659283015,-9.550740687771897,3.440254155885072,0.4074074074074074
COTY,31,-31.29,24.166282697716703,-6.52802403014564,94.17177736882572,-26.247988799164336,3.7019291880850433,0.22580645161290322
CCI,39,-14.12,6.691129655250513,-3.2924399985014356,17.102768157099035,-12.425043118705602,2.0322707956093358,0.3076923076923077
CSX,57,-90.1,11.340133065899787,-5.189785912093585,31.578949019519275,-16.666664459087176,2.185086872172174,0.08771929824561403
