,trades,Total return,Average Gain,Average Loss,Max Return,Max Loss,Gain/Loss Ratio,Batting Average
MMM,27,-29.17,4.120777779993175,-3.0532297697997643,11.035166116872963,-7.034612449057931,1.3496454871339154,0.25925925925925924
AOS,28,-6.31,7.3269894112180385,-3.501530778952056,24.593257704918337,-7.29839702653744,2.092510354403017,0.32142857142857145
ABT,30,7.89,4.5244781290457,-2.844019520323094,10.596687356205248,-5.379309016706957,1.5908744988261185,0.43333333333333335
ABBV,22,101.34,19.9950539410747,-3.379059788093585,53.707762820166515,-7.153525378731562,5.917342454705607,0.3181818181818182
ABMD,21,97.54,37.88041823455681,-6.893606471717713,89.90212413317079,-22.034477420277952,5.495007350647035,0.2857142857142857
ACN,20,52.18,8.43437262977665,-3.4106918350961237,31.936060739519046,-7.087641558081403,2.4729213419361717,0.5
ATVI,24,82.28,14.211714781879692,-2.399264534728678,47.484239621597936,-7.44653855576688,5.923363004024411,0.3333333333333333
ADBE,19,93.62,17.9152337293509,-3.7996460491791204,30.686430815059328,-7.509374786441425,4.714974367999705,0.3684210526315789
AAP,24,22.11,10.128346762220506,-3.2198662571171712,38.53057931947801,-6.348132416077745,3.1455799568795366,0.3333333333333333
AMD,23,868.57,33.94070294502968,-6.446156351124689,124.61814683688166,-10.923653923442833,5.265262133939382,0.5217391304347826
AES,35,46.01,15.068057879544757,-2.3826223861457243,61.11883461284777,-10.491558068687901,6.324148537830104,0.22857142857142856
AFL,24,16.75,6.886870685893619,-2.2442090901676046,21.36094278442826,-4.251971884297845,3.068729520821648,0.3333333333333333
A,17,-60.77,80.05049842993348,-14.231874193153667,233.33332008785726,-32.58426590047685,5.624733421859665,0.17647058823529413
APD,29,15.28,13.77703452586321,-3.133670166534983,38.31691159987738,-8.015317087402352,4.396453293965202,0.2413793103448276
AKAM,30,13.49,10.399994608934456,-3.420294945980226,31.033766990861288,-10.060544054896859,3.0406718640324484,0.3
ALK,21,-11.98,11.351357451113865,-3.803643604404252,37.95426535480158,-14.448874957295011,2.9843378170263084,0.23809523809523808
ALB,22,28.44,11.577505551019904,-4.079962616160374,37.429423019033756,-8.516591813572349,2.837649910114965,0.36363636363636365
ARE,33,17.35,7.223226249929322,-1.8375080520575109,26.0906528431194,-4.064612255648948,3.930990257071944,0.2727272727272727
ALXN,27,-50.97,7.903063434438491,-5.325642792664913,14.020268800835112,-12.864393542021457,1.4839642353263907,0.2222222222222222
ALGN,13,1246.47,45.821036576788714,-4.315911347588628,125.59553650921336,-7.1148350622936345,10.616769642960739,0.6153846153846154
ALLE,24,27.64,7.698460883661743,-2.604265281287335,24.441774898591227,-6.5794061855633075,2.956097037801101,0.375
LNT,24,10.18,3.4991621103904365,-2.099552377693915,11.813102555785182,-4.38961225227078,1.666622918087812,0.4583333333333333
ALL,27,0.12,6.20049056422132,-2.8729322283995984,12.355099897639477,-10.126102705678097,2.158244633454294,0.3333333333333333
