,trades,Total return,Average Gain,Average Loss,Max Return,Max Loss,Gain/Loss Ratio,Batting Average
MMM,39,18.24,5.380623090754563,-2.4252712416087188,15.6308334455858,-8.0717726622337,2.218565494218913,0.38461538461538464
AOS,42,47.39,7.21135977311654,-2.405133572194575,38.1003914997744,-7.4520843551265425,2.9983198673396347,0.38095238095238093
ABT,51,34.29,6.18178821156424,-2.6985239457419445,26.60122250410375,-10.995097586261082,2.2908035414392405,0.39215686274509803
ABBV,49,-1.91,8.594486356980582,-3.2734321974820433,38.66615665607742,-16.78276769838849,2.625527531497841,0.30612244897959184
ABMD,41,206.99,19.475328799932466,-4.251239414228537,99.59996908448457,-21.60486524934835,4.581094335630733,0.36585365853658536
ACN,41,119.52,6.9126065099134,-2.2601228817836887,37.82377189646651,-9.652836308556257,3.058509148165418,0.4878048780487805
ATVI,34,114.18,10.77415627568593,-2.85244409153586,49.31271257669281,-10.11705584145689,3.7771665035105846,0.4117647058823529
ADBE,39,162.72,10.32973733485554,-4.431869110341078,40.43490124929801,-14.745156846707342,2.330785742465341,0.5128205128205128
AAP,47,31.19,10.554975839094102,-3.034365701711487,42.39836978073257,-20.394937576746862,3.4784784949094076,0.2978723404255319
AMD,43,1611.08,27.520058952289226,-5.2637241676093804,192.07921539985747,-24.22907649385345,5.228248684008832,0.4883720930232558
AES,36,76.05,5.346133316308746,-3.0903187898879283,23.11837198639839,-6.441715632964762,1.7299617546908894,0.5833333333333334
AFL,44,14.97,5.320942563944748,-2.2706375191466024,26.43448804862274,-10.81683937184451,2.343369436590907,0.36363636363636365
A,43,44.03,11.884371646661227,-3.298166390346002,39.42563588825978,-9.941445981156738,3.6033268914047936,0.3023255813953488
APD,45,59.04,7.906579846365328,-2.7959438426831573,45.39345069669767,-12.604185053449623,2.827875054449482,0.4
AKAM,42,54.87,9.887819381835738,-3.1185509037031065,41.89767197120868,-15.648048720074625,3.1706454975913654,0.35714285714285715
ALK,49,-3.44,5.47665222326296,-2.9218916769580625,41.28540471105242,-14.27821494379753,1.8743515601388139,0.3673469387755102
ALB,37,93.66,11.058222133655194,-3.906857432996493,61.89695118267067,-12.518707473917335,2.8304647208930085,0.43243243243243246
ARE,45,-5.34,8.523729949167862,-3.910151096377718,36.56904293372767,-17.21268335864966,2.1798978451405793,0.3333333333333333
ALXN,53,-50.97,7.051013392383032,-4.0253135503177,29.851856938114874,-9.992447627751355,1.7516681133638712,0.2641509433962264
ALGN,23,439.94,58.804245206445344,-9.104119073377802,188.35577617323844,-28.165043930538648,6.45908129413644,0.34782608695652173
