,trades,Total return,Average Gain,Average Loss,Max Return,Max Loss,Gain/Loss Ratio,Batting Average
ATVI,29,49.74,14.300351091852601,-3.538688816241715,49.31271257669281,-10.130122004756625,4.041144004021346,0.3103448275862069
ADBE,23,139.56,15.021434377018215,-3.422804399957654,40.43490124929801,-8.61856427268548,4.388633594488793,0.43478260869565216
AMD,29,1242.08,36.75374326245795,-6.158157740780904,192.07921539985747,-10.84905246603547,5.968301691764927,0.4827586206896552
ALXN,30,-56.04,6.56569825938482,-5.751106352640689,14.020268800835112,-11.977283208489375,1.1416409046878608,0.26666666666666666
ALGN,15,1349.16,55.79538057962573,-6.319169568429456,159.08189581313766,-11.115134757396861,8.82954318212621,0.5333333333333333
GOOGL,24,63.52,7.725769866957029,-3.0773045516833655,22.393979932605745,-11.954405364129006,2.5105639488073526,0.5
GOOG,25,52.26,8.540660416202195,-3.2199233710672766,22.69903349358171,-12.273936683192899,2.652442133544099,0.44
AMZN,28,195.06,21.135334906316224,-3.7380640081372323,63.44468535804801,-8.638771236265807,5.654085874481447,0.35714285714285715
AEP,22,50.35,5.208248434343047,-1.8521905728360444,17.201182097955115,-5.519521187513298,2.811939824511827,0.5454545454545454
AMGN,33,16.76,5.244377621379447,-2.815132142846644,15.169005016676373,-7.692752519997292,1.862924138288004,0.42424242424242425
ADI,31,0.15,12.781494498287154,-3.343420339132083,30.411435058723768,-10.078706744881504,3.8228799258920274,0.22580645161290322
ANSS,26,77.06,10.079215504308022,-3.632522502214477,29.161307447832453,-12.50215375891025,2.7747152283746295,0.46153846153846156
AAPL,18,209.36,19.09136301015003,-3.8425216828822903,49.55217621541244,-10.18167197438361,4.968446396854038,0.5
AMAT,21,121.31,19.901354899602566,-4.666903879655075,42.64864583917485,-13.608729583632694,4.264359286755538,0.38095238095238093
ASML,29,71.86,14.940561644100526,-4.165932220934002,29.229861279678502,-9.421750764438174,3.586366952641119,0.3448275862068966
TEAM,26,330.79,15.202326693039131,-3.7252241947122613,36.538973267077026,-8.777217706444452,4.0809159122873595,0.5384615384615384
ADSK,27,187.65,11.640076776069822,-4.3179777378958315,37.0935353668943,-8.499831258104052,2.6957241288932816,0.5555555555555556
ADP,32,22.44,6.427005693670397,-3.014280962351777,19.407266516658517,-7.009340739899161,2.132185345010431,0.40625
BIDU,44,-29.78,7.37613599666003,-2.9483025194045713,29.221054810743084,-11.5851455966957,2.5018246764411707,0.22727272727272727
BIIB,46,-79.32,8.061534981706863,-5.536450474587645,25.922211123070138,-33.54329131599299,1.456083643971779,0.1956521739130435
BKNG,32,-34.91,7.137650434667965,-3.861580763409321,19.2309498592262,-12.79043758616728,1.848375282553008,0.25
AVGO,38,9.15,7.645492268043994,-2.8542975892267513,32.26663774632365,-8.786630550357133,2.6785897507327574,0.3157894736842105
CDNS,28,153.2,19.06684782346188,-2.8605890673456416,45.4598088375455,-8.504006791044594,6.665357160563481,0.32142857142857145
CDW,25,105.44,10.284567464242535,-3.2365316689122405,24.011572704600326,-6.6042273309053545,3.177650805344678,0.48
CDW,25,105.44,10.284567464242535,-3.2365316689122405,24.011572704600326,-6.6042273309053545,3.177650805344678,0.48
CERN,27,46.41,8.381831072980937,-2.770571677878294,32.61617338850975,-7.302711079612201,3.0253074265884905,0.4074074074074074
CHTR,22,132.65,13.567104429582145,-4.473762802464554,35.783515202629616,-11.405024928757879,3.032593597074068,0.5
CHKP,33,-11.08,9.68222660049959,-3.6445381458257664,41.3319530963252,-8.87363946073576,2.656640214230993,0.2727272727272727
CTAS,18,271.79,17.566338064683624,-2.708199194277036,58.228876852526334,-5.958532979298092,6.486353774052069,0.5555555555555556
CSCO,26,11.68,12.23980329295286,-3.4561211953689015,33.82704227047337,-7.895516316838713,3.5414855559330003,0.2692307692307692
CTSH,28,14.6,11.282568897406058,-3.1421201558727523,48.08696109530963,-8.565551608060751,3.5907503016135367,0.2857142857142857
CMCSA,28,40.92,8.95392529208198,-2.1706048314432387,17.13622811503903,-6.2237535201759675,4.125083093143444,0.32142857142857145
CPRT,20,436.56,20.190877847762444,-2.775029518702091,47.256215354947194,-5.421089834324322,7.2759146206148895,0.55
COST,26,68.88,9.68470013389339,-3.0405960743808635,19.76441563154352,-9.550737485948302,3.1851320915309085,0.4230769230769231
CSX,27,79.99,11.49434765672155,-3.741355474971292,73.69051147255867,-9.500920317175176,3.072241526798452,0.4444444444444444
DXCM,30,123.9,21.62372100169599,-5.078563056381265,56.72254805223778,-17.158654070315116,4.257842378175372,0.3333333333333333
DOCU,22,44.47,50.33093041140134,-5.636463907419813,133.750144400838,-15.918466991935587,8.929522345587268,0.18181818181818182
DLTR,26,34.4,13.446314280188785,-3.5326890731152853,48.392555810657626,-10.760629286787315,3.8062546694298276,0.3076923076923077
EBAY,32,37.25,14.357510875045712,-3.3966678612303993,52.3665492301524,-13.994218330739761,4.2269398898027335,0.28125
EA,24,110.01,11.224713976230632,-1.9440307440555606,34.435409327084265,-4.158869599687143,5.773938509230607,0.4166666666666667
EXC,36,-7.09,4.054525326285476,-2.7469395266335,15.34612388831147,-8.760126813833846,1.4760155026981907,0.3888888888888889
FB,32,31.79,9.942700607281356,-2.837124084724758,28.554869465787647,-8.544548385573481,3.504499736480839,0.3125
FAST,30,24.85,11.556513901402122,-3.430070928448346,28.133489650204325,-7.451711579053111,3.3691763647085624,0.3
FISV,33,35.34,5.814199817126018,-2.4646462681182366,16.127206769542024,-5.706799989664734,2.359040277842862,0.42424242424242425
