,trades,Total return,Average Gain,Average Loss,Max Return,Max Loss,Gain/Loss Ratio,Batting Average
AAL,36,-21.29,7.658480701425389,-5.291417803355705,31.97674745571335,-20.81598628106568,1.4473400109453733,0.3888888888888889
AAPL,25,454.86,12.479471104506601,-2.547552242591385,40.57193725115982,-6.431590151311317,4.898612438978842,0.68
AMD,39,747.8,20.634662241981466,-6.529075989664899,71.78248710436344,-22.40601844492147,3.1604261115423973,0.5128205128205128
ALGN,37,437.12,19.87098496239512,-5.849058726935581,51.59673864482621,-29.335208398678315,3.397296195862588,0.4594594594594595
ADBE,34,217.97,10.014219385503871,-2.9558211519055173,36.33268913961749,-11.762124667633723,3.387965262731828,0.5294117647058824
ADI,36,66.96,7.218874949862923,-3.298580579222585,21.4860280392565,-8.895766159748863,2.1884791886952417,0.4722222222222222
ADP,35,81.15,6.079705460576086,-2.9928475202876794,21.7784418994025,-6.404649322768585,2.0314116971758356,0.5428571428571428
ADSK,40,129.07,12.505235044232375,-3.966277080479749,41.922381711068304,-8.759476657496268,3.152889924351876,0.4
ALXN,41,-24.42,7.540313956210026,-4.563495359741062,22.135325727482822,-12.260531740381609,1.6523110821433753,0.34146341463414637
AMAT,31,225.83,11.765557983089586,-3.6311925554676443,23.04710154436984,-11.700645229325879,3.2401360719286765,0.5161290322580645
AMGN,36,56.15,7.392535124622821,-2.836517900596747,21.827075331719147,-5.764094310245726,2.6062007657584596,0.4166666666666667
AMZN,40,168.84,8.398925375960932,-2.7646056993785644,28.071210394794456,-10.01437756940281,3.038019265405141,0.5
ASML,38,107.75,8.645754355215384,-4.779258993253435,27.434156268135123,-10.997370571367304,1.8090156585822252,0.5263157894736842
ATVI,36,122.71,9.254575410967606,-3.419910786914048,28.403920389211955,-6.068113918562146,2.706086792199179,0.4722222222222222
BIDU,39,-12.89,5.639526595963242,-4.18565664214197,22.390253632231726,-9.498876039129712,1.3473457280712995,0.41025641025641024
BIIB,42,-75.74,6.205539442877375,-5.450834097144586,24.52320136897508,-29.923400654993028,1.1384568549110934,0.21428571428571427
BMRN,41,-13.34,7.006893562990259,-4.170931170219428,30.732738001922264,-12.300322538945462,1.6799350737359766,0.36585365853658536
BKNG,40,-35.3,4.826678453905285,-4.381003428509076,14.406657318508763,-13.279021681496882,1.1017289834780795,0.375
