,trades,Total return,Average Gain,Average Loss,Max Return,Max Loss,Gain/Loss Ratio,Batting Average
"(0, 'ATVI')",2,81.17440309466579,38.99689615265202,0.0,73.67681585562352,0.0,0.0,1.0
"(1, 'ADBE')",1,306.40846477852006,306.40846477852006,0.0,306.40846477852006,0.0,0.0,1.0
"(2, 'AMD')",2,261.0104644016107,320.57417765666065,-14.162475116024664,320.57417765666065,-14.162475116024664,22.635462730235265,0.5
"(3, 'ALXN')",4,-16.860874704620375,24.661858465371434,-12.305981410997466,24.661858465371434,-22.375075388471554,2.004054584653599,0.25
"(4, 'ALGN')",3,287.7548518670449,108.15057053069947,-9.995959871414428,123.79414890923637,-9.995959871414428,10.81942824120163,0.6666666666666666
"(5, 'GOOGL')",4,99.22265648600322,29.392565651106278,-6.789081683043285,44.252232105223044,-6.789081683043285,4.329387540662306,0.75
"(6, 'GOOG')",4,91.30758255168674,28.011969596845088,-6.738166250059841,45.02872379179197,-6.738166250059841,4.157209626075391,0.75
"(7, 'AMZN')",3,191.73499430916146,77.5503036405014,-6.940729625279274,90.76906113503507,-6.940729625279274,11.173220659403082,0.6666666666666666
"(8, 'AEP')",2,13.031547007578137,6.321451224379981,0.0,7.368489762542807,0.0,0.0,1.0
"(9, 'AMGN')",3,-0.5495222133707123,7.477757579640287,-3.7812672097862543,7.477757579640287,-6.000000000000005,1.9775797807378406,0.3333333333333333
"(10, 'ADI')",3,22.747124765818526,16.36529653032742,-9.114665227191876,22.2956618820777,-9.114665227191876,1.7954906869760459,0.6666666666666666
"(11, 'ANSYS')",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(12, 'ANSS')",2,208.62120740191918,78.44731057468199,0.0,109.77336859584214,0.0,0.0,1.0
"(13, 'AAPL')",3,119.52477149908556,63.74205391250904,-6.000000000000016,122.54478449400175,-6.000000000000016,10.623675652084811,0.6666666666666666
"(14, 'AMAT')",3,120.82836069237626,32.7275084794042,0.0,69.81304725031801,0.0,0.0,1.0
"(15, 'ASML')",2,204.59775242612346,82.59605073632099,0.0,136.2760516853594,0.0,0.0,1.0
"(16, 'TEAM')",1,750.3662448656431,750.366244865643,0.0,750.366244865643,0.0,0.0,1.0
"(17, 'ADSK')",3,150.95983666307373,61.24218787122542,-3.238093577274659,69.19415010080243,-3.238093577274659,18.913038307796498,0.6666666666666666
"(18, 'ADP')",1,40.51421989815695,40.51421989815695,0.0,40.51421989815695,0.0,0.0,1.0
"(19, 'BIDU')",2,154.00750189690612,67.45798474854888,0.0,118.85279447049078,0.0,0.0,1.0
"(20, 'BIIB')",5,-54.97854691759929,0.0,-14.311563902890693,0.0,-28.443015928805725,-0.0,0.0
"(21, 'BKNG')",3,-7.411441794271989,8.577962491072478,-21.408274002273366,11.444843387957771,-21.408274002273366,0.4006844498609078,0.6666666666666666
"(22, 'AVGO')",4,24.884679311281644,30.71201125529083,-12.912843940284995,53.55852518324191,-19.58343642353254,2.3784079941891556,0.5
"(23, 'CDNS')",1,332.484091406222,332.484091406222,0.0,332.484091406222,0.0,0.0,1.0
"(24, 'CDW')",1,67.49884046213441,67.49884046213441,0.0,67.49884046213441,0.0,0.0,1.0
"(25, 'CDW')",1,67.49884046213441,67.49884046213441,0.0,67.49884046213441,0.0,0.0,1.0
"(26, 'CERN')",3,-0.8977299375713454,14.59160988565229,-6.922248677808263,14.59160988565229,-10.816742951136227,2.1079291664904933,0.3333333333333333
"(27, 'CHTR')",2,68.10696677695422,78.83719869888746,-6.000000000000005,78.83719869888746,-6.000000000000005,13.139533116481232,0.5
"(28, 'CHKP')",4,-1.2684558889766384,0.7983247781989,-1.4147631128036575,1.461168045663963,-2.5310743792629986,0.5642815895990161,0.5
