,trades,Total return,Average Gain,Average Loss,Max Return,Max Loss,Gain/Loss Ratio,Batting Average
"(1, 'MMM', '3M Company', 'Industrials')",1,8.66763915914559,8.66763915914559,0.0,8.66763915914559,0.0,0.0,1.0
"(2, 'AOS', 'A.O. Smith Corp', 'Industrials')",2,5.425443517786888,17.116800554929856,-9.98264722204354,17.116800554929856,-9.98264722204354,1.7146554590382381,0.5
"(3, 'ABT', 'Abbott Laboratories', 'Health Care')",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4, 'ABBV', 'AbbVie Inc.', 'Health Care')",1,45.48712867963787,45.48712867963787,0.0,45.48712867963787,0.0,0.0,1.0
"(5, 'ABMD', 'ABIOMED Inc', 'Health Care')",1,169.4762117253633,169.4762117253633,0.0,169.4762117253633,0.0,0.0,1.0
"(6, 'ACN', 'Accenture plc', 'Information Technology')",2,3.3000069704738344,17.81846476103448,-12.322735506703243,17.81846476103448,-12.322735506703243,1.445982894897136,0.5
"(7, 'ATVI', 'Activision Blizzard', 'Communication Services')",1,4.316976449680521,4.316976449680521,0.0,4.316976449680521,0.0,0.0,1.0
"(8, 'ADBE', 'Adobe Inc.', 'Information Technology')",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(9, 'AAP', 'Advance Auto Parts', 'Consumer Discretionary')",2,2.2522005702763304,10.021845817068286,-7.061911376864593,10.021845817068286,-7.061911376864593,1.4191406946709475,0.5
"(10, 'AMD', 'Advanced Micro Devices Inc', 'Information Technology')",1,-15.8159585434822,0.0,-15.8159585434822,0.0,-15.8159585434822,-0.0,0.0
"(11, 'AES', 'AES Corp', 'Utilities')",3,-16.987261987452328,35.987107843012225,-20.890049876017027,35.987107843012225,-33.29681174072754,1.7226913318348505,0.3333333333333333
"(12, 'AFL', 'AFLAC Inc', 'Financials')",1,10.872980579189552,10.872980579189552,0.0,10.872980579189552,0.0,0.0,1.0
"(13, 'A', 'Agilent Technologies Inc', 'Health Care')",4,8.169600525036902,12.274600807145617,-7.192297860755669,19.05968472519732,-8.04711974881962,1.7066313221149003,0.5
"(14, 'APD', 'Air Products & Chemicals Inc', 'Materials')",2,52.61145127992128,23.63864304974781,0.0,28.67540065666365,0.0,0.0,1.0
"(15, 'AKAM', 'Akamai Technologies Inc', 'Information Technology')",2,-30.45221659551328,0.0,-16.450774348895088,0.0,-21.51977488653325,-0.0,0.0
"(16, 'ALK', 'Alaska Air Group Inc', 'Industrials')",2,-48.332972909558315,0.0,-27.51824544565607,0.0,-36.84037150315971,-0.0,0.0
"(17, 'ALB', 'Albemarle Corp', 'Materials')",1,-6.771916683971391,0.0,-6.771916683971391,0.0,-6.771916683971391,-0.0,0.0
"(18, 'ARE', 'Alexandria Real Estate Equities', 'Real Estate')",2,41.551018344702605,19.00806536788301,0.0,21.804096150269658,0.0,0.0,1.0
"(19, 'ALXN', 'Alexion Pharmaceuticals', 'Health Care')",3,-32.85266189250097,0.0,-12.100860364880509,0.0,-22.375075388471554,-0.0,0.0
"(20, 'ALGN', 'Align Technology', 'Health Care')",2,97.11388473863862,123.79414890923637,-11.921788080982576,123.79414890923637,-11.921788080982576,10.383857527773923,0.5
"(21, 'ALLE', 'Allegion', 'Industrials')",2,16.525609996156355,7.970912049885525,0.0,10.241781766201296,0.0,0.0,1.0
"(22, 'LNT', 'Alliant Energy Corp', 'Utilities')",3,17.16654219450875,12.274965282445827,-6.39534725709855,21.682253579781108,-6.39534725709855,1.9193586820201458,0.6666666666666666
"(23, 'ALL', 'Allstate Corp', 'Financials')",3,-12.675250742339827,18.05489698487335,-13.889357598205338,18.05489698487335,-18.141596293557505,1.2999087147994697,0.3333333333333333
"(24, 'GOOGL', 'Alphabet Inc. (Class A)', 'Communication Services')",3,36.099114476541196,21.962732424047893,-8.144344364632062,29.59682615193666,-8.144344364632062,2.696685140110736,0.6666666666666666
"(25, 'GOOG', 'Alphabet Inc. (Class C)', 'Communication Services')",3,30.070108619220637,19.503592499371646,-8.039082646330986,31.21020500574414,-8.039082646330986,2.4260967771332753,0.6666666666666666
"(26, 'MO', 'Altria Group Inc', 'Consumer Staples')",2,-21.612672711735982,0.0,-11.39574861088949,0.0,-14.857054058013519,-0.0,0.0
"(27, 'AMZN', 'Amazon.com Inc.', 'Consumer Discretionary')",2,77.01784403352559,90.76906113503507,-7.208305696789985,90.76906113503507,-7.208305696789985,12.592287973504856,0.5
"(28, 'AMCR', 'Amcor plc', 'Materials')",3,-50.56279834748481,0.0,-19.824749505776524,0.0,-37.801478570993154,-0.0,0.0
"(29, 'AEE', 'Ameren Corp', 'Utilities')",4,11.32080965417237,11.087166504950796,-4.714978044053836,19.82257614512921,-6.2096404654765625,2.3514778650842434,0.5
"(30, 'AAL', 'American Airlines Group', 'Industrials')",1,1.4361778869447228,1.4361778869447228,0.0,1.4361778869447228,0.0,0.0,1.0
"(31, 'AEP', 'American Electric Power', 'Utilities')",2,13.031547007578137,6.321451224379981,0.0,7.368489762542807,0.0,0.0,1.0
"(32, 'AXP', 'American Express Co', 'Financials')",1,-9.201604666141572,0.0,-9.201604666141572,0.0,-9.201604666141572,-0.0,0.0
"(33, 'AIG', 'American International Group', 'Financials')",3,-14.331641023283993,0.0,-4.990697564808059,0.0,-6.95107724059919,-0.0,0.0
"(34, 'AMT', 'American Tower Corp.', 'Real Estate')",1,96.32506412691974,96.32506412691974,0.0,96.32506412691974,0.0,0.0,1.0
"(35, 'AWK', 'American Water Works Company Inc', 'Utilities')",1,8.410161550788686,8.410161550788686,0.0,8.410161550788686,0.0,0.0,1.0
"(36, 'AMP', 'Ameriprise Financial', 'Financials')",2,-15.273322532925015,11.0844689670893,-23.72770176164165,11.0844689670893,-23.72770176164165,0.4671530803294452,0.5
"(37, 'ABC', 'AmerisourceBergen Corp', 'Health Care')",4,-34.23868525345485,0.0,-9.937727521533802,0.0,-12.105634169312761,-0.0,0.0
"(38, 'AME', 'AMETEK Inc.', 'Industrials')",2,-5.463970987996225,35.93912072348311,-30.457083649745176,35.93912072348311,-30.457083649745176,1.1799921862769616,0.5
"(39, 'AMGN', 'Amgen Inc.', 'Health Care')",3,-0.6784046165927871,7.477757579640287,-3.84217665020577,7.477757579640287,-6.121818880839037,1.9462295100980878,0.3333333333333333
"(40, 'APH', 'Amphenol Corp', 'Information Technology')",3,-15.114589620225605,25.28897504070404,-16.310228424749965,25.28897504070404,-31.43662509167361,1.5504979073333682,0.3333333333333333
"(41, 'ADI', 'Analog Devices Inc.', 'Information Technology')",2,-8.967628716341125,10.434931178577145,-17.569223512752185,10.434931178577145,-17.569223512752185,0.5939324052086428,0.5
"(42, 'ANSS', 'ANSYS', 'Information Technology')",1,47.12125255352184,47.12125255352184,0.0,47.12125255352184,0.0,0.0,1.0
"(43, 'ANTM', 'Anthem', 'Health Care')",3,36.74875832361497,28.03534295664717,-13.063705838398764,53.78962076742104,-13.063705838398764,2.146048242623588,0.6666666666666666
"(44, 'AON', 'Aon plc', 'Financials')",2,39.1749147738081,53.96825793549924,-9.608047372912665,53.96825793549924,-9.608047372912665,5.616984996103203,0.5
"(45, 'APA', 'Apache Corporation', 'Energy')",2,-19.528657316975274,1.6125936231924598,-20.805738921068507,1.6125936231924598,-20.805738921068507,0.07750715460336281,0.5
"(46, 'AIV', 'Apartment Investment & Management', 'Real Estate')",2,-31.344059580231544,0.0,-15.712752609660951,0.0,-31.164161304772563,-0.0,0.0
"(47, 'AAPL', 'Apple Inc.', 'Information Technology')",2,-2.3066867657501655,4.939323331016343,-6.904952182615077,4.939323331016343,-6.904952182615077,0.7153305628172647,0.5
"(48, 'AMAT', 'Applied Materials Inc.', 'Information Technology')",2,30.04204580750358,14.184739093947295,0.0,20.011407198658347,0.0,0.0,1.0
"(49, 'APTV', 'Aptiv PLC', 'Consumer Discretionary')",2,-35.19062507520668,8.831079588179303,-40.44957086704064,8.831079588179303,-40.44957086704064,0.2183231959915574,0.5
"(50, 'ADM', 'Archer-Daniels-Midland Co', 'Consumer Staples')",3,-18.878374777886407,0.0,-6.734573068936256,0.0,-7.550644890649149,-0.0,0.0
"(51, 'ANET', 'Arista Networks', 'Information Technology')",1,84.81920663389289,84.81920663389289,0.0,84.81920663389289,0.0,0.0,1.0
"(52, 'AJG', 'Arthur J. Gallagher & Co.', 'Financials')",1,45.66359888327018,45.66359888327018,0.0,45.66359888327018,0.0,0.0,1.0
"(53, 'AIZ', 'Assurant', 'Financials')",3,-24.561069887269404,0.0,-8.771700803732815,0.0,-16.952545704949262,-0.0,0.0
"(54, 'T', 'AT&T Inc.', 'Communication Services')",2,-17.03355460572592,0.0,-8.899405449757598,0.0,-10.534577605907547,-0.0,0.0
"(55, 'ATO', 'Atmos Energy', 'Utilities')",2,29.41303526092156,14.051930720631422,0.0,22.209097815374122,0.0,0.0,1.0
"(56, 'ADSK', 'Autodesk Inc.', 'Information Technology')",2,63.71548519326391,69.19415010080243,-3.238093577274659,69.19415010080243,-3.238093577274659,21.36879260884106,0.5
"(57, 'ADP', 'Automatic Data Processing', 'Information Technology')",1,40.51421989815695,40.51421989815695,0.0,40.51421989815695,0.0,0.0,1.0
"(58, 'AZO', 'AutoZone Inc', 'Consumer Discretionary')",1,19.415967990155146,19.415967990155146,0.0,19.415967990155146,0.0,0.0,1.0
"(59, 'AVB', 'AvalonBay Communities', 'Real Estate')",2,-37.46389836108938,0.0,-19.768739017400513,0.0,-33.312928729853944,-0.0,0.0
"(60, 'AVY', 'Avery Dennison Corp', 'Materials')",3,2.2954398841440016,24.649295922453152,-9.385306101915287,24.649295922453152,-11.474010564599125,2.6263710160101117,0.3333333333333333
"(61, 'BKR', 'Baker Hughes Co', 'Energy')",1,-6.527951408249089,0.0,-6.527951408249089,0.0,-6.527951408249089,-0.0,0.0
"(62, 'BLL', 'Ball Corp', 'Materials')",3,23.754800325882485,40.658359716525624,-6.2008440696652345,40.658359716525624,-6.366553198094216,6.5569072951580685,0.3333333333333333
"(63, 'BAC', 'Bank of America Corp', 'Financials')",2,-25.325100482278728,10.259161081705459,-32.273292500035566,10.259161081705459,-32.273292500035566,0.3178839308599875,0.5
"(64, 'BAX', 'Baxter International Inc.', 'Health Care')",2,41.38058423647186,19.441890420308106,0.0,30.769147967027077,0.0,0.0,1.0
"(65, 'BDX', 'Becton Dickinson', 'Health Care')",4,-12.523112273522418,37.061461490491055,-13.861598333506754,37.061461490491055,-17.560227879828837,2.6736787922143694,0.25
"(66, 'BRK.B', 'Berkshire Hathaway', 'Financials')",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(67, 'BBY', 'Best Buy Co. Inc.', 'Consumer Discretionary')",2,22.70853739238352,41.17146472249236,-13.078370594512368,41.17146472249236,-13.078370594512368,3.1480576593973977,0.5
"(68, 'BIO', 'Bio-Rad Laboratories', 'Health Care')",2,14.548916490876373,23.204057932806556,-7.025045755108616,23.204057932806556,-7.025045755108616,3.30304723153334,0.5
"(69, 'BIIB', 'Biogen Inc.', 'Health Care')",5,-56.32211312847106,0.0,-14.86330946424646,0.0,-29.435178951450837,-0.0,0.0
"(70, 'BLK', 'BlackRock', 'Financials')",3,35.7411493695688,11.278358997015665,0.0,27.018403875560757,0.0,0.0,1.0
"(71, 'BA', 'Boeing Company', 'Industrials')",2,81.28343048261155,108.52686273043437,-13.064711131745543,108.52686273043437,-13.064711131745543,8.306870441760344,0.5
"(72, 'BKNG', 'Booking Holdings Inc', 'Consumer Discretionary')",2,-14.118530610516277,11.444843387957771,-22.93813981996794,11.444843387957771,-22.93813981996794,0.49894383231524686,0.5
"(73, 'BWA', 'BorgWarner', 'Consumer Discretionary')",2,-15.232311021028478,8.47829106013358,-21.857462769226686,8.47829106013358,-21.857462769226686,0.3878899920657873,0.5
"(74, 'BXP', 'Boston Properties', 'Real Estate')",4,-39.437071169456175,0.0,-11.064177627670793,0.0,-29.170908242278426,-0.0,0.0
"(75, 'BSX', 'Boston Scientific', 'Health Care')",1,10.551949861500475,10.551949861500475,0.0,10.551949861500475,0.0,0.0,1.0
"(76, 'BMY', 'Bristol-Myers Squibb', 'Health Care')",3,-28.940556246575632,0.0,-10.55920885610578,0.0,-18.971190499622736,-0.0,0.0
"(77, 'AVGO', 'Broadcom Inc.', 'Information Technology')",3,-35.13281593085118,7.865497327339743,-22.3863283626091,7.865497327339743,-25.57565941837021,0.3513527184956841,0.3333333333333333
"(78, 'BR', 'Broadridge Financial Solutions', 'Information Technology')",2,34.125389750939306,43.6219667852864,-6.6122037226689745,43.6219667852864,-6.6122037226689745,6.597190379318602,0.5
"(79, 'BF.B', 'Brown-Forman Corp.', 'Consumer Staples')",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(80, 'CHRW', 'C. H. Robinson Worldwide', 'Industrials')",2,-8.889305631123001,6.755347042840132,-14.65467829698971,6.755347042840132,-14.65467829698971,0.4609686344481394,0.5
"(81, 'COG', 'Cabot Oil & Gas', 'Energy')",3,-23.778134032487074,0.0,-8.639927709693218,0.0,-10.601836813664233,-0.0,0.0
"(82, 'CDNS', 'Cadence Design Systems', 'Information Technology')",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(83, 'CPB', 'Campbell Soup', 'Consumer Staples')",1,2.346588830090779,2.346588830090779,0.0,2.346588830090779,0.0,0.0,1.0
"(84, 'COF', 'Capital One Financial', 'Financials')",3,-59.31062273331602,0.0,-22.241788455823382,0.0,-52.82276657618856,-0.0,0.0
"(85, 'CAH', 'Cardinal Health Inc.', 'Health Care')",2,-31.271046508054578,0.0,-17.09415315794461,0.0,-17.789919931945963,-0.0,0.0
"(86, 'KMX', 'Carmax Inc', 'Consumer Discretionary')",4,-47.31254055086268,0.0,-13.441718040805998,0.0,-38.040678580032974,-0.0,0.0
"(87, 'CCL', 'Carnival Corp.', 'Consumer Discretionary')",1,13.637432268712391,13.637432268712391,0.0,13.637432268712391,0.0,0.0,1.0
"(88, 'CARR', 'Carrier Global', 'Industrials')",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
