,trades,Total return,Average Gain,Average Loss,Max Return,Max Loss,Gain/Loss Ratio,Batting Average
"(1, 'MMM', '3M Company', 'Industrials')",2,17.751778742732395,8.5136010001864,0.0,8.66763915914559,0.0,0.0,1.0
"(2, 'AOS', 'A.O. Smith Corp', 'Industrials')",3,29.552415458890025,18.830699814312922,-8.23468533073779,20.54459907369599,-8.23468533073779,2.2867540237418855,0.6666666666666666
"(3, 'ABT', 'Abbott Laboratories', 'Health Care')",1,191.1760033228417,191.1760033228417,0.0,191.1760033228417,0.0,0.0,1.0
"(4, 'ABBV', 'AbbVie Inc.', 'Health Care')",2,81.63102230074966,35.16524519541562,0.0,45.48712867963787,0.0,0.0,1.0
"(5, 'ABMD', 'ABIOMED Inc', 'Health Care')",2,182.50495492987716,87.15552577538848,0.0,169.4762117253633,0.0,0.0,1.0
"(6, 'ACN', 'Accenture plc', 'Information Technology')",3,33.61222535636188,20.707284521628964,-8.245355707639924,23.59610428222345,-8.245355707639924,2.5113876533479513,0.6666666666666666
"(7, 'ATVI', 'Activision Blizzard', 'Communication Services')",2,81.17440309466579,38.99689615265202,0.0,73.67681585562352,0.0,0.0,1.0
"(8, 'ADBE', 'Adobe Inc.', 'Information Technology')",1,306.40846477852006,306.40846477852006,0.0,306.40846477852006,0.0,0.0,1.0
"(9, 'AAP', 'Advance Auto Parts', 'Consumer Discretionary')",3,-4.3515120382627615,10.021845817068286,-6.757497048914623,10.021845817068286,-7.514994097829241,1.4830706908970055,0.3333333333333333
"(10, 'AMD', 'Advanced Micro Devices Inc', 'Information Technology')",2,261.0104644016107,320.57417765666065,-14.162475116024664,320.57417765666065,-14.162475116024664,22.635462730235265,0.5
"(11, 'AES', 'AES Corp', 'Utilities')",4,31.284227745751526,44.9793091489847,-19.648405870363778,53.97151045495716,-33.29681174072754,2.2892090811717303,0.5
"(12, 'AFL', 'AFLAC Inc', 'Financials')",1,10.872980579189552,10.872980579189552,0.0,10.872980579189552,0.0,0.0,1.0
"(13, 'A', 'Agilent Technologies Inc', 'Health Care')",5,49.79696011551009,20.151477461657468,-6.319559353989207,35.90523077068117,-6.639118707978408,3.1887472421533465,0.6
"(14, 'APD', 'Air Products & Chemicals Inc', 'Materials')",3,56.35040801679634,16.575756830523066,0.0,28.67540065666365,0.0,0.0,1.0
"(15, 'AKAM', 'Akamai Technologies Inc', 'Information Technology')",3,-9.05823607375974,31.69863164219322,-16.773481766707665,31.69863164219322,-21.39520619323395,1.88980630754369,0.3333333333333333
"(16, 'ALK', 'Alaska Air Group Inc', 'Industrials')",2,-39.31771373499188,0.0,-21.562853111877754,0.0,-30.736586563861877,-0.0,0.0
"(17, 'ALB', 'Albemarle Corp', 'Materials')",2,94.84520932284255,107.28213757749212,-6.000000000000016,107.28213757749212,-6.000000000000016,17.880356262915306,0.5
