,symbol
0,ATVI
1,ADBE
2,AMD
3,ALXN
4,ALGN
5,GOOGL
6,GOOG
7,AMZN
8,AEP
9,AMGN
10,ADI
11,ANSYS
12,ANSS
13,AAPL
14,AMAT
15,ASML
16,TEAM
17,ADSK
18,ADP
19,BIDU
20,BIIB
21,BKNG
22,AVGO
23,CDNS
24,CDW
25,CDW
26,CERN
27,CHTR
28,CHKP
29,CTAS
30,CSCO
31,CTSH
32,CMCSA
33,CPRT
34,COST
35,CSX
36,DXCM
37,DOCU
38,DLTR
39,EBAY
40,EA
41,EXC
42,FB
43,FAST
44,FISV
45,FOXA
46,GILD
47,IDXX
48,ILMN
49,INCY
50,INTC
51,INTU
52,ISRG
53,JD
54,KDP
55,KLAC
56,KHC
57,LRCX
58,LULU
59,MAR
60,MRVL
61,MTCH
62,MXIM
63,MELI
64,MCHP
65,MU
66,MSFT
67,MRNA
68,MDLZ
69,MNST
70,NTES
71,NFLX
72,NVDA
73,NXPI
74,ORLY
75,OKTA
76,PCAR
77,PAYX
78,PYPL
79,PTON
80,PEP
81,PDD
82,QUALCOMM
83,QCOM
84,REGN
85,ROST
86,SGEN
87,SIRI
88,SWKS
89,SPLK
90,SBUX
91,SNPS
92,TMUS
93,TSLA
94,TXN
95,TCOM
96,VRSN
97,VRSK
98,VRTX
99,WBA
100,WDAY
101,XEL
102,XLNX
103,ZM
