,symbol
0,4151.T
1,4502.T
2,4503.T
3,4506.T
4,4507.T
5,4519.T
6,4523.T
7,4568.T
8,4578.T
9,3105.T
10,6479.T
11,6501.T
12,6503.T
13,6504.T
14,6506.T
15,6645.T
16,6674.T
17,6701.T
18,6702.T
19,6703.T
20,6724.T
21,6752.T
22,6753.T
23,6758.T
24,6762.T
25,6770.T
26,6841.T
27,6857.T
28,6902.T
29,6952.T
30,6954.T
31,6971.T
32,6976.T
33,7735.T
34,7751.T
35,7752.T
36,8035.T
37,7201.T
38,7202.T
39,7203.T
40,7205.T
41,7211.T
42,7261.T
43,7267.T
44,7269.T
45,7270.T
46,7272.T
47,4543.T
48,4902.T
49,7731.T
50,7733.T
51,7762.T
52,9412.T
53,9432.T
54,9433.T
55,9434.T
56,9613.T
57,9984.T
58,7186.T
59,8303.T
60,8304.T
61,8306.T
62,8308.T
63,8309.T
64,8316.T
65,8331.T
66,8354.T
67,8355.T
68,8411.T
69,8253.T
70,8697.T
71,8601.T
72,8604.T
73,8628.T
74,8630.T
75,8725.T
76,8750.T
77,8766.T
78,8795.T
79,1332.T
80,1333.T
81,2002.T
82,2269.T
83,2282.T
84,2501.T
85,2502.T
86,2503.T
87,2531.T
88,2801.T
89,2802.T
90,2871.T
91,2914.T
92,3086.T
93,3099.T
94,3382.T
95,8233.T
96,8252.T
97,8267.T
98,9983.T
99,2413.T
100,2432.T
101,3659.T
102,4324.T
103,4689.T
104,4704.T
105,4751.T
106,4755.T
107,6098.T
108,6178.T
109,9602.T
110,9735.T
111,9766.T
112,1605.T
113,3101.T
114,3103.T
115,3401.T
116,3402.T
117,3861.T
118,3863.T
119,3405.T
120,3407.T
121,4004.T
122,4005.T
123,4021.T
124,4042.T
125,4043.T
126,4061.T
127,4063.T
128,4183.T
129,4188.T
130,4208.T
131,4452.T
132,4631.T
133,4901.T
134,4911.T
135,6988.T
136,5019.T
137,5020.T
138,5101.T
139,5108.T
140,5201.T
141,5202.T
142,5214.T
143,5232.T
144,5233.T
145,5301.T
146,5332.T
147,5333.T
148,5401.T
149,5406.T
150,5411.T
151,5541.T
152,3436.T
153,5703.T
154,5706.T
155,5707.T
156,5711.T
157,5713.T
158,5714.T
159,5801.T
160,5802.T
161,5803.T
162,5901.T
163,2768.T
164,8001.T
165,8002.T
166,8015.T
167,8031.T
168,8053.T
169,8058.T
170,1721.T
171,1801.T
172,1802.T
173,1803.T
174,1808.T
175,1812.T
176,1925.T
177,1928.T
178,1963.T
179,5631.T
180,6103.T
181,6113.T
182,6301.T
183,6302.T
184,6305.T
185,6326.T
186,6361.T
187,6367.T
188,6471.T
189,6472.T
190,6473.T
191,7004.T
192,7011.T
193,7013.T
194,7003.T
195,7012.T
196,7832.T
197,7911.T
198,7912.T
199,7951.T
200,3289.T
201,8801.T
202,8802.T
203,8804.T
204,8830.T
205,9001.T
206,9005.T
207,9007.T
208,9008.T
209,9009.T
210,9020.T
211,9021.T
212,9022.T
213,9062.T
214,9064.T
215,9101.T
216,9104.T
217,9107.T
218,9202.T
219,9301.T
220,9501.T
221,9502.T
222,9503.T
223,9531.T
224,9532.T
