,symbol,B,C
1,MMM,3M Company,Industrials
2,AOS,A.O. Smith Corp,Industrials
3,ABT,Abbott Laboratories,Health Care
4,ABBV,AbbVie Inc.,Health Care
5,ABMD,ABIOMED Inc,Health Care
6,ACN,Accenture plc,Information Technology
7,ATVI,Activision Blizzard,Communication Services
8,ADBE,Adobe Inc.,Information Technology
9,AAP,Advance Auto Parts,Consumer Discretionary
10,AMD,Advanced Micro Devices Inc,Information Technology
11,AES,AES Corp,Utilities
12,AFL,AFLAC Inc,Financials
13,A,Agilent Technologies Inc,Health Care
14,APD,Air Products & Chemicals Inc,Materials
15,AKAM,Akamai Technologies Inc,Information Technology
16,ALK,Alaska Air Group Inc,Industrials
17,ALB,Albemarle Corp,Materials
18,ARE,Alexandria Real Estate Equities,Real Estate
19,ALXN,Alexion Pharmaceuticals,Health Care
20,ALGN,Align Technology,Health Care
21,ALLE,Allegion,Industrials
22,LNT,Alliant Energy Corp,Utilities
23,ALL,Allstate Corp,Financials
24,GOOGL,Alphabet Inc. (Class A),Communication Services
25,GOOG,Alphabet Inc. (Class C),Communication Services
26,MO,Altria Group Inc,Consumer Staples
27,AMZN,Amazon.com Inc.,Consumer Discretionary
28,AMCR,Amcor plc,Materials
29,AEE,Ameren Corp,Utilities
30,AAL,American Airlines Group,Industrials
31,AEP,American Electric Power,Utilities
32,AXP,American Express Co,Financials
33,AIG,American International Group,Financials
34,AMT,American Tower Corp.,Real Estate
35,AWK,American Water Works Company Inc,Utilities
36,AMP,Ameriprise Financial,Financials
37,ABC,AmerisourceBergen Corp,Health Care
38,AME,AMETEK Inc.,Industrials
39,AMGN,Amgen Inc.,Health Care
40,APH,Amphenol Corp,Information Technology
41,ADI,Analog Devices Inc.,Information Technology
42,ANSS,ANSYS,Information Technology
43,ANTM,Anthem,Health Care
44,AON,Aon plc,Financials
45,APA,Apache Corporation,Energy
46,AIV,Apartment Investment & Management,Real Estate
47,AAPL,Apple Inc.,Information Technology
48,AMAT,Applied Materials Inc.,Information Technology
49,APTV,Aptiv PLC,Consumer Discretionary
50,ADM,Archer-Daniels-Midland Co,Consumer Staples
51,ANET,Arista Networks,Information Technology
52,AJG,Arthur J. Gallagher & Co.,Financials
53,AIZ,Assurant,Financials
54,T,AT&T Inc.,Communication Services
55,ATO,Atmos Energy,Utilities
56,ADSK,Autodesk Inc.,Information Technology
57,ADP,Automatic Data Processing,Information Technology
58,AZO,AutoZone Inc,Consumer Discretionary
59,AVB,AvalonBay Communities,Real Estate
60,AVY,Avery Dennison Corp,Materials
61,BKR,Baker Hughes Co,Energy
62,BLL,Ball Corp,Materials
63,BAC,Bank of America Corp,Financials
64,BAX,Baxter International Inc.,Health Care
65,BDX,Becton Dickinson,Health Care
66,BRK.B,Berkshire Hathaway,Financials
67,BBY,Best Buy Co. Inc.,Consumer Discretionary
68,BIO,Bio-Rad Laboratories,Health Care
69,BIIB,Biogen Inc.,Health Care
70,BLK,BlackRock,Financials
71,BA,Boeing Company,Industrials
